time,p_st,t_st,rh_st,z_st,p_vs,t_vs,rh_vs,p_st_adj
0.0,1019.648125,16.95,90.5,78.31,1019.0,15.5,96.0,1019.0
1.0,1018.6925,16.89,89.7,83.08,1018.5,15.3,89.9,1018.044375
2.0,1017.926015,16.83,88.5,81.29,1017.5,15.6,86.8,1017.27789
3.0,1017.15414,16.79,87.8,80.68,1016.8,15.8,83.8,1016.5060149999999
4.0,1016.401718,16.73,87.4,79.79,1016.1,15.8,82.7,1015.7535929999999
5.0,1015.979062,16.69,87.3,76.65,1015.3,15.7,82.8,1015.330937
6.0,1015.412265,16.65,87.2,72.51,1014.9,15.7,82.6,1014.76414
7.0,1014.732812,16.58,87.1,72.83,1014.2,15.7,82.2,1014.0846869999999
8.0,1014.308984,16.54,86.8,67.31,1013.6,15.7,81.7,1013.660859
9.0,1013.450859,16.49,86.5,62.65,1013.0,15.7,81.3,1012.802734
10.0,1012.679921,16.44,86.6,53.27,1012.4,15.7,81.2,1012.031796
11.0,1012.506796,16.4,86.6,61.37,1011.8,15.6,81.2,1011.858671
12.0,1011.695625,16.36,86.3,67.65,1011.2,15.6,80.5,1011.0474999999999
13.0,1011.212031,16.33,86.1,82.44,1010.6,15.6,80.0,1010.563906
14.0,1010.519921,16.28,86.1,91.06,1010.0,15.5,80.2,1009.8717959999999
15.0,1009.82375,16.25,86.2,92.18,1009.4,15.5,80.6,1009.175625
16.0,1009.240156,16.19,86.2,96.74,1008.7,15.4,80.8,1008.5920309999999
17.0,1008.381171,16.15,86.3,103.55,1008.1,15.4,80.9,1007.733046
18.0,1007.923125,16.14,86.3,111.16,1007.5,15.3,81.0,1007.275
19.0,1007.419218,16.08,86.3,109.02,1006.8,15.3,80.9,1006.771093
20.0,1006.819531,16.06,86.3,107.01,1006.2,15.2,80.7,1006.1714059999999
21.0,1006.446875,16.03,86.4,93.5,1005.6,15.2,80.9,1005.7987499999999
22.0,1005.309218,15.97,86.5,110.26,1004.9,15.1,81.3,1004.6610929999999
23.0,1004.630312,15.93,86.4,121.35,1004.3,15.1,81.1,1003.982187
24.0,1004.36375,15.91,86.3,123.41,1003.7,15.1,80.4,1003.7156249999999
25.0,1003.640625,15.84,86.1,115.94,1003.0,15.0,79.7,1002.9925
26.0,1002.919687,15.81,85.9,121.84,1002.4,15.0,79.4,1002.2715619999999
27.0,1002.188437,15.79,85.9,138.26,1001.7,15.0,80.0,1001.540312
28.0,1001.738281,15.74,86.1,138.53,1001.1,14.9,80.7,1001.090156
29.0,1000.863125,15.7,85.9,145.49,1000.4,14.8,80.4,1000.2149999999999
30.0,1000.115781,15.66,85.4,148.44,999.8,14.9,79.2,999.4676559999999
31.0,999.613203,15.62,85.1,160.6,999.1,14.9,78.6,998.965078
32.0,998.970156,15.6,85.1,155.58,998.5,14.8,78.9,998.3220309999999
33.0,998.389687,15.57,85.1,169.24,997.8,14.8,79.2,997.7415619999999
34.0,998.011015,15.52,85.1,172.73,997.2,14.7,79.3,997.36289
35.0,997.178281,15.48,85.1,165.1,996.6,14.7,79.1,996.5301559999999
36.0,996.666093,15.45,85.0,171.02,996.1,14.6,79.0,996.017968
37.0,996.066093,15.41,84.8,176.47,995.5,14.6,78.6,995.417968
38.0,995.392187,15.38,84.6,179.75,994.9,14.6,78.4,994.744062
39.0,994.885156,15.34,84.5,182.96,994.3,14.6,78.6,994.237031
40.0,994.259921,15.32,84.6,197.14,993.7,14.5,79.1,993.6117959999999
41.0,993.589687,15.28,84.7,211.91,993.1,14.4,79.6,992.941562
42.0,993.158828,15.24,84.7,221.83,992.5,14.4,79.8,992.5107029999999
43.0,992.352812,15.2,84.7,234.86,991.8,14.4,79.7,991.7046869999999
44.0,991.925156,15.17,84.7,248.12,991.2,14.3,79.9,991.277031
45.0,991.125859,15.14,84.8,243.27,990.6,14.3,80.2,990.4777339999999
46.0,990.34539,15.08,84.9,240.52,989.9,14.2,80.5,989.6972649999999
47.0,989.603437,15.04,85.1,222.72,989.3,14.1,80.8,988.9553119999999
48.0,988.883984,14.99,85.3,217.97,988.6,14.1,81.1,988.235859
49.0,988.307421,14.95,85.4,211.77,988.0,14.0,81.3,987.6592959999999
50.0,988.097656,14.91,85.6,207.76,987.4,14.0,81.4,987.449531
51.0,987.395625,14.88,85.8,206.09,986.8,13.9,81.6,986.7475
52.0,986.697812,14.84,85.9,214.94,986.2,13.9,81.9,986.049687
53.0,986.100468,14.8,86.0,210.92,985.6,13.8,82.3,985.4523429999999
54.0,985.437031,14.76,86.3,209.28,984.9,13.8,82.5,984.788906
55.0,984.715078,14.72,86.4,203.68,984.3,13.7,82.7,984.0669529999999
56.0,984.447343,14.67,86.5,208.1,983.7,13.7,82.9,983.799218
57.0,983.692187,14.62,86.6,210.73,983.1,13.6,83.0,983.0440619999999
58.0,983.089218,14.59,86.8,224.33,982.5,13.6,83.2,982.4410929999999
59.0,982.545156,14.55,86.9,234.19,981.9,13.5,83.4,981.897031
60.0,981.867187,14.5,87.0,245.21,981.3,13.5,83.4,981.2190619999999
61.0,981.187812,14.47,87.2,244.35,980.7,13.4,83.5,980.539687
62.0,980.805156,14.43,87.3,250.43,980.1,13.4,83.7,980.157031
64.0,979.4225,14.34,87.5,252.84,978.9,13.3,84.0,978.774375
65.0,979.018906,14.3,87.7,265.09,978.3,13.2,84.5,978.370781
66.0,978.36039,14.26,87.8,270.47,977.7,13.2,84.7,977.712265
67.0,977.592968,14.19,87.9,277.54,977.1,13.1,84.9,976.944843
68.0,977.108437,14.16,88.1,312.5,976.5,13.1,85.3,976.4603119999999
69.0,976.669375,14.14,88.2,315.16,975.9,13.0,85.4,976.0212499999999
70.0,975.981875,14.09,88.3,324.59,975.4,13.0,85.3,975.3337499999999
71.0,975.550312,14.04,88.5,336.31,974.8,13.0,85.6,974.9021869999999
72.0,974.882968,14.0,88.6,345.25,974.2,12.9,85.9,974.234843
73.0,974.183984,13.96,88.8,351.67,973.6,12.9,86.0,973.535859
74.0,973.615312,13.91,88.9,360.55,973.0,12.8,86.2,972.967187
75.0,972.822343,13.85,89.1,375.42,972.4,12.8,86.3,972.174218
76.0,972.372812,13.81,89.2,394.57,971.8,12.7,86.4,971.7246869999999
77.0,971.639062,13.76,89.4,401.87,971.2,12.7,86.4,970.9909369999999
78.0,970.966484,13.7,89.6,409.99,970.6,12.6,86.6,970.318359
79.0,970.466796,13.65,89.8,421.06,969.9,12.5,87.0,969.818671
80.0,969.732343,13.61,90.0,431.91,969.3,12.5,87.2,969.084218
81.0,968.954453,13.56,90.1,450.1,968.6,12.5,87.3,968.3063279999999
82.0,968.488125,13.51,90.3,479.05,968.0,12.4,87.7,967.8399999999999
83.0,967.722187,13.45,90.5,481.75,967.3,12.3,87.9,967.0740619999999
84.0,967.142812,13.4,90.6,485.57,966.6,12.3,88.0,966.494687
85.0,966.416796,13.34,90.8,469.0,965.9,12.2,88.4,965.7686709999999
86.0,965.792968,13.3,91.1,469.09,965.3,12.2,88.8,965.1448429999999
