time,p_st,t_st,rh_st,z_st,p_vs,t_vs,rh_vs,p_st_adj
0.0,1005.882968,33.43,61.9,40.53,1003.6,29.7,72.0,1003.6
1.0,1005.889218,33.42,61.9,40.88,1002.9,29.9,68.2,1003.60625
2.0,1005.867812,33.45,61.9,41.58,1002.5,29.6,68.0,1003.584844
3.0,1005.957187,33.47,61.8,41.39,1001.8,29.4,68.5,1003.674219
4.0,1005.726953,33.47,61.8,42.65,1001.0,29.4,68.7,1003.443985
5.0,1005.118281,33.41,60.6,46.61,1000.2,29.3,68.7,1002.835313
6.0,1004.390312,33.34,60.0,52.0,999.6,29.0,69.1,1002.107344
7.0,1003.495,33.25,60.8,58.45,999.0,28.7,70.1,1001.212032
8.0,1002.825312,33.18,60.8,65.71,998.4,28.6,71.0,1000.5423440000001
9.0,1002.163125,33.07,60.6,73.42,997.7,28.5,71.0,999.880157
10.0,1001.529531,32.96,60.9,79.88,997.1,28.5,70.5,999.246563
11.0,1001.000468,32.84,61.5,87.43,996.6,28.5,70.4,998.7175
12.0,1000.28125,32.69,62.1,96.08,996.0,28.4,70.1,997.998282
13.0,999.927656,32.6,62.3,102.01,995.4,28.4,69.9,997.644688
14.0,999.123359,32.45,62.8,111.35,994.9,28.4,70.0,996.8403910000001
15.0,998.224843,32.31,62.9,120.29,994.4,28.3,70.4,995.941875
16.0,997.775312,32.2,63.1,127.18,993.9,28.2,70.9,995.492344
17.0,997.556328,32.09,63.4,129.59,993.5,28.2,70.8,995.27336
18.0,997.180781,32.0,63.7,135.54,993.0,28.2,70.1,994.897813
19.0,996.369375,31.89,64.3,142.63,992.5,28.2,69.8,994.086407
20.0,995.9425,31.77,64.9,148.44,992.1,28.1,69.9,993.659532
21.0,995.749218,31.67,65.0,150.84,991.6,28.1,70.2,993.4662500000001
22.0,995.199921,31.58,64.8,154.87,991.1,28.0,70.6,992.916953
23.0,994.69,31.48,64.9,160.27,990.6,28.0,71.0,992.4070320000001
24.0,994.176718,31.38,65.1,164.93,990.1,27.9,71.2,991.8937500000001
25.0,993.617343,31.31,65.4,169.45,989.6,27.9,71.4,991.334375
26.0,993.391718,31.21,65.9,173.83,989.1,27.9,71.8,991.10875
27.0,992.864843,31.14,66.2,177.43,988.6,27.8,72.5,990.581875
28.0,992.311718,31.04,66.5,182.14,988.0,27.8,72.6,990.0287500000001
29.0,991.790859,30.97,66.7,184.94,987.5,27.8,71.9,989.507891
30.0,991.117109,30.86,67.2,190.13,986.9,27.7,71.0,988.834141
31.0,990.67,30.78,68.0,196.84,986.3,27.7,70.9,988.387032
32.0,990.070546,30.71,68.6,200.55,985.7,27.6,71.5,987.787578
33.0,989.573828,30.66,68.4,204.34,985.1,27.5,72.0,987.2908600000001
34.0,988.94914,30.59,67.9,209.08,984.5,27.5,72.4,986.6661720000001
35.0,988.180625,30.51,67.9,215.84,983.8,27.4,72.8,985.897657
36.0,987.661015,30.45,68.1,220.13,983.2,27.4,73.2,985.378047
37.0,986.901406,30.4,68.3,226.41,982.6,27.3,73.4,984.618438
38.0,986.257968,30.29,68.6,232.28,982.0,27.3,73.6,983.975
39.0,985.780937,30.24,69.1,237.15,981.4,27.2,73.8,983.497969
40.0,985.095937,30.19,69.3,241.94,980.8,27.2,74.2,982.8129690000001
41.0,984.47125,30.13,69.5,244.75,980.2,27.1,74.6,982.1882820000001
42.0,983.927656,30.08,69.6,248.67,979.6,27.0,74.8,981.644688
43.0,983.339218,30.01,69.6,255.23,979.1,27.0,74.8,981.05625
44.0,982.655781,29.94,70.1,259.53,978.5,26.9,74.7,980.3728130000001
45.0,982.061718,29.87,70.3,264.19,978.0,26.9,74.7,979.7787500000001
46.0,980.632656,29.74,70.4,275.35,977.5,26.9,75.0,978.349688
46.0,981.52125,29.83,70.4,267.96,977.5,26.9,75.0,979.238282
47.0,980.007187,29.68,70.4,280.47,977.1,26.8,75.9,977.7242190000001
47.0,981.243125,29.79,70.6,271.21,977.1,26.8,75.9,978.960157
50.0,979.64664,29.64,70.8,285.58,975.6,26.6,77.6,977.3636720000001
51.0,978.149531,29.48,72.4,298.19,975.0,26.6,77.9,975.866563
51.0,979.134375,29.58,71.7,289.55,975.0,26.6,77.9,976.851407
52.0,977.621406,29.42,72.7,302.47,974.5,26.5,78.1,975.338438
52.0,978.687812,29.55,72.2,293.17,974.5,26.5,78.1,976.404844
54.0,976.587812,29.27,73.2,310.77,973.4,26.4,78.4,974.304844
55.0,975.968203,29.21,73.4,315.99,972.9,26.4,78.7,973.685235
55.0,977.037578,29.36,72.9,306.7,972.9,26.4,78.7,974.7546100000001
56.0,975.462031,29.18,73.6,321.04,972.3,26.3,78.8,973.179063
57.0,974.857031,29.12,73.7,326.81,971.7,26.3,79.0,972.574063
58.0,974.172265,29.06,73.9,333.3,971.1,26.2,79.1,971.889297
60.0,973.019921,28.92,74.3,344.37,969.9,26.1,79.5,970.736953
61.0,973.627968,28.99,74.1,338.62,969.4,26.0,79.7,971.345
63.0,972.340625,28.84,74.5,349.83,968.2,26.0,80.0,970.0576570000001
64.0,971.788437,28.8,74.7,355.45,967.7,25.9,80.1,969.5054690000001
65.0,971.342265,28.77,74.9,360.12,967.1,25.9,80.1,969.059297
66.0,969.666796,28.64,75.3,376.29,966.5,25.8,80.1,967.383828
66.0,970.791718,28.74,75.0,365.01,966.5,25.8,80.1,968.50875
67.0,970.17664,28.68,75.1,371.01,966.0,25.8,80.1,967.893672
69.0,969.092343,28.6,75.4,381.1,964.8,25.7,80.3,966.809375
70.0,968.472968,28.56,75.5,386.5,964.3,25.7,80.5,966.19
71.0,966.728593,28.41,75.7,402.56,963.7,25.6,80.8,964.4456250000001
71.0,967.813046,28.49,75.5,392.55,963.7,25.6,80.8,965.530078
72.0,967.368046,28.45,75.6,397.44,963.2,25.6,81.0,965.0850780000001
74.0,966.155312,28.37,75.9,407.76,962.1,25.5,81.2,963.872344
75.0,965.722343,28.33,76.0,412.07,961.6,25.4,81.3,963.439375
76.0,965.155312,28.29,76.1,416.75,961.1,25.4,81.3,962.872344
77.0,963.637187,28.12,76.6,432.57,960.6,25.3,81.5,961.3542190000001
77.0,964.464843,28.18,76.4,423.1,960.6,25.3,81.5,962.181875
78.0,963.979843,28.15,76.5,429.51,960.1,25.3,82.0,961.696875
79.0,962.507187,28.01,76.9,441.76,959.6,25.3,82.3,960.2242190000001
80.0,963.130937,28.08,76.7,436.5,959.1,25.2,82.5,960.847969
82.0,962.133281,27.98,77.1,446.07,958.1,25.1,83.0,959.850313
83.0,961.736562,27.95,77.2,450.13,957.6,25.1,83.0,959.4535940000001
84.0,960.170703,27.82,77.6,464.2,957.0,25.0,83.2,957.887735
84.0,961.207656,27.91,77.4,454.89,957.0,25.0,83.2,958.9246880000001
85.0,959.7275,27.79,77.7,468.36,956.5,25.0,83.5,957.444532
85.0,960.71289,27.89,77.5,459.59,956.5,25.0,83.5,958.429922
87.0,958.282968,27.66,78.1,479.72,955.4,24.9,83.8,956.0
88.0,959.026484,27.75,77.9,473.5,954.8,24.9,83.6,956.743516
90.0,957.740468,27.62,78.3,485.21,953.7,24.8,83.6,955.4575
91.0,956.213437,27.48,78.5,499.3,953.1,24.8,83.8,953.930469
91.0,957.26625,27.59,78.3,490.14,953.1,24.8,83.8,954.983282
92.0,955.706718,27.44,78.7,504.0,952.5,24.7,84.1,953.42375
92.0,956.758125,27.52,78.5,493.92,952.5,24.7,84.1,954.475157
93.0,955.004062,27.39,78.8,510.27,951.9,24.6,84.3,952.721094
96.0,954.454765,27.34,79.0,515.98,950.1,24.4,86.0,952.171797
97.0,954.073515,27.31,79.2,519.74,949.5,24.4,86.4,951.7905470000001
98.0,953.32039,27.23,79.4,525.43,948.9,24.3,86.6,951.037422
99.0,952.441953,27.14,79.8,533.46,948.3,24.2,86.8,950.158985
100.0,950.746718,27.0,80.6,552.01,947.7,24.2,87.0,948.46375
100.0,951.895703,27.08,80.1,540.39,947.7,24.2,87.0,949.612735
101.0,951.446093,27.06,80.3,546.56,947.0,24.1,87.0,949.163125
103.0,948.974296,26.8,81.4,568.36,945.8,24.1,86.0,946.691328
103.0,950.096875,26.93,80.8,558.38,945.8,24.1,86.0,947.813907
104.0,948.135,26.75,81.4,574.1,945.2,24.1,85.6,945.852032
104.0,949.440468,26.85,81.1,564.82,945.2,24.1,85.6,947.1575
105.0,947.592656,26.7,81.0,579.87,944.6,24.1,85.5,945.309688
106.0,947.156875,26.67,80.7,584.27,944.0,24.0,85.7,944.873907
107.0,946.511875,26.62,80.8,588.47,943.3,24.0,85.9,944.228907
108.0,945.67664,26.56,81.1,594.99,942.7,23.9,85.8,943.393672
109.0,945.091562,26.48,81.2,599.19,942.1,23.9,85.3,942.808594
112.0,943.167734,26.34,80.5,618.59,940.1,23.9,83.6,940.884766
112.0,944.459453,26.45,81.1,606.4,940.1,23.9,83.6,942.1764850000001
113.0,942.582578,26.3,80.3,623.07,939.5,23.9,83.8,940.29961
113.0,943.711015,26.4,81.0,612.09,939.5,23.9,83.8,941.428047
114.0,941.912968,26.28,80.3,628.39,938.9,23.8,84.0,939.63
115.0,941.247578,26.23,80.3,636.37,938.3,23.8,84.0,938.96461
116.0,940.602343,26.17,80.3,642.1,937.6,23.7,84.1,938.319375
118.0,939.577812,26.12,80.4,651.05,936.4,23.6,84.8,937.294844
119.0,938.770468,26.06,80.4,657.5,935.8,23.6,85.0,936.4875000000001
119.0,940.21125,26.14,80.3,645.98,935.8,23.6,85.0,937.928282
120.0,938.130937,26.02,80.5,664.26,935.1,23.5,85.0,935.847969
121.0,937.587187,26.0,80.6,669.2,934.5,23.5,84.8,935.304219
122.0,937.042812,25.99,80.5,673.77,933.9,23.5,84.7,934.759844
123.0,936.509843,25.94,80.5,679.19,933.3,23.4,84.6,934.2268750000001
124.0,935.690937,25.9,80.6,686.13,932.6,23.4,84.3,933.407969
125.0,934.84125,25.85,80.4,693.29,932.0,23.4,84.0,932.558282
126.0,934.430312,25.84,80.3,699.69,931.3,23.4,83.8,932.147344
127.0,933.903984,25.8,80.2,705.59,930.7,23.3,83.8,931.621016
129.0,932.169921,25.69,80.4,719.27,929.4,23.3,83.6,929.8869530000001
130.0,931.912187,25.67,80.4,722.86,928.8,23.2,83.7,929.629219
130.0,933.025312,25.75,80.3,712.09,928.8,23.2,83.7,930.742344
131.0,931.309062,25.65,80.5,728.22,928.1,23.2,84.0,929.0260940000001
132.0,930.616562,25.61,80.6,733.52,927.5,23.2,84.2,928.3335940000001
133.0,929.804531,25.55,80.6,741.67,926.8,23.1,84.2,927.521563
134.0,929.125156,25.48,80.7,747.75,926.2,23.1,84.1,926.842188
135.0,928.684687,25.44,80.7,755.89,925.6,23.1,84.1,926.4017190000001
136.0,927.936953,25.4,80.7,762.12,925.0,23.0,84.4,925.653985
137.0,927.338906,25.37,80.8,767.51,924.3,23.0,84.5,925.055938
138.0,926.854921,25.36,80.8,772.7,923.7,22.9,84.5,924.571953
139.0,926.20375,25.34,80.8,777.47,923.1,22.9,84.6,923.920782
141.0,924.845468,25.25,80.8,790.97,921.8,22.8,84.6,922.5625
142.0,924.402968,25.23,80.8,795.32,921.2,22.8,84.5,922.12
142.0,925.428593,25.27,80.8,785.8,921.2,22.8,84.5,923.145625
143.0,923.69375,25.21,80.8,802.94,920.6,22.8,84.5,921.410782
144.0,922.919687,25.17,80.8,809.24,919.9,22.8,84.4,920.636719
145.0,922.463593,25.15,80.8,813.81,919.3,22.7,84.5,920.180625
146.0,921.684453,25.13,80.8,820.29,918.6,22.7,84.7,919.401485
147.0,920.897187,25.06,81.0,827.59,917.9,22.6,84.9,918.614219
149.0,919.578593,24.98,81.2,838.44,916.5,22.5,85.4,917.295625
150.0,918.65164,24.92,81.3,846.35,915.9,22.4,85.6,916.3686720000001
150.0,920.285625,25.01,81.1,832.8,915.9,22.4,85.6,918.002657
152.0,917.683906,24.89,81.5,854.42,914.5,22.3,86.1,915.400938
153.0,916.97625,24.85,81.6,859.38,913.8,22.3,86.5,914.6932820000001
153.0,918.206953,24.9,81.4,851.17,913.8,22.3,86.5,915.923985
154.0,916.244609,24.8,81.7,866.16,913.2,22.2,86.8,913.961641
155.0,915.468125,24.77,81.8,874.83,912.5,22.2,86.8,913.185157
156.0,914.734687,24.69,82.0,882.34,911.9,22.1,86.3,912.451719
157.0,914.18625,24.67,82.1,888.69,911.3,22.2,85.4,911.903282
158.0,913.694375,24.64,82.0,892.6,910.7,22.2,84.6,911.411407
160.0,912.631171,24.58,81.4,902.3,909.6,22.2,84.2,910.348203
161.0,912.029375,24.55,81.3,907.13,909.0,22.2,84.2,909.746407
161.0,913.176093,24.62,81.7,896.92,909.0,22.2,84.2,910.893125
162.0,911.511796,24.54,81.3,912.15,908.4,22.2,84.3,909.228828
164.0,910.288515,24.49,81.2,924.47,907.2,22.1,84.4,908.005547
165.0,909.729843,24.45,81.2,929.75,906.6,22.1,84.4,907.446875
165.0,910.869765,24.51,81.3,917.83,906.6,22.1,84.4,908.586797
166.0,909.124218,24.42,81.2,935.92,906.0,22.1,84.4,906.8412500000001
167.0,908.605312,24.4,81.2,941.67,905.4,22.1,84.5,906.322344
168.0,907.763125,24.37,81.1,949.07,904.7,22.0,84.6,905.480157
169.0,906.951562,24.32,81.1,956.31,904.1,22.0,84.3,904.668594
170.0,906.412265,24.31,81.1,961.9,903.5,22.0,84.0,904.1292970000001
171.0,905.807343,24.28,81.1,966.36,902.9,21.9,83.9,903.524375
172.0,905.2375,24.25,81.1,971.96,902.2,21.9,84.1,902.954532
173.0,904.654375,24.23,81.1,978.31,901.6,21.8,84.4,902.371407
174.0,903.975625,24.21,81.1,985.69,901.0,21.8,84.5,901.692657
175.0,903.415312,24.18,81.1,990.91,900.4,21.8,84.6,901.132344
176.0,902.840703,24.16,81.2,996.83,899.7,21.7,84.8,900.557735
177.0,902.058437,24.1,81.2,1003.79,899.1,21.7,85.1,899.775469
178.0,901.330781,24.06,81.3,1009.77,898.4,21.6,85.2,899.047813
179.0,900.7083590000001,24.02,81.5,1016.5,897.8,21.6,85.2,898.4253910000001
180.0,900.232421,23.97,81.6,1020.38,897.2,21.5,85.2,897.9494530000001
181.0,899.532187,23.94,81.7,1025.84,896.5,21.5,85.2,897.249219
182.0,898.875781,23.91,81.7,1032.92,895.9,21.5,85.1,896.592813
183.0,898.355625,23.9,81.6,1038.84,895.3,21.4,85.2,896.072657
184.0,897.591406,23.86,81.5,1046.4,894.6,21.4,85.2,895.308438
185.0,896.721406,23.79,81.5,1055.12,894.0,21.3,84.9,894.438438
187.0,895.720625,23.72,81.5,1066.34,892.7,21.3,84.8,893.4376570000001
188.0,895.129531,23.69,81.4,1072.04,892.1,21.2,85.3,892.8465630000001
188.0,896.23,23.75,81.5,1060.76,892.1,21.2,85.3,893.947032
190.0,893.779531,23.63,81.5,1086.06,890.9,21.1,85.7,891.496563
191.0,893.190781,23.6,81.5,1093.68,890.3,21.1,85.4,890.907813
191.0,894.4603119999999,23.65,81.4,1078.11,890.3,21.1,85.4,892.177344
192.0,892.613281,23.59,81.5,1099.64,889.7,21.1,85.0,890.330313
195.0,892.1344530000001,23.56,81.5,1104.48,887.9,21.0,85.0,889.8514850000001
196.0,890.4902340000001,23.45,81.3,1120.35,887.3,20.9,85.4,888.2072660000001
196.0,891.521562,23.51,81.4,1109.89,887.3,20.9,85.4,889.238594
197.0,890.985468,23.48,81.3,1115.18,886.7,20.9,86.0,888.7025
199.0,888.3323429999999,23.32,81.6,1138.41,885.4,20.8,86.2,886.0493749999999
199.0,889.664843,23.43,81.2,1126.27,885.4,20.8,86.2,887.381875
200.0,888.858437,23.35,81.3,1135.02,884.8,20.8,86.5,886.575469
202.0,886.3998429999999,23.2,82.2,1158.35,883.6,20.7,86.4,884.1168749999999
202.0,887.6861710000001,23.31,81.8,1143.91,883.6,20.7,86.4,885.4032030000001
