time,p_st,t_st,rh_st,z_st,p_vs,t_vs,rh_vs,p_st_adj
-0.0,1005.647968,30.82,75.0,22.49,1002.8,30.7,67.0,1002.8
1.0,1005.599609,30.84,75.1,23.82,1001.9,30.5,67.7,1002.751641
2.0,1005.652968,30.86,74.8,23.07,1001.4,30.5,66.7,1002.805
3.0,1005.437812,30.86,74.5,23.35,1000.7,30.5,66.2,1002.589844
4.0,1004.840937,30.86,73.4,27.54,1000.0,30.4,66.0,1001.992969
5.0,1004.171484,30.87,72.0,31.53,999.3,30.2,66.2,1001.3235159999999
6.0,1003.697031,30.87,71.1,35.48,998.8,30.1,66.3,1000.849063
7.0,1002.750234,30.87,70.4,43.64,998.2,30.1,66.4,999.9022659999999
8.0,1002.170312,30.87,70.0,52.07,997.6,30.1,66.5,999.3223439999999
9.0,1001.802656,30.86,69.8,60.22,997.0,30.0,66.5,998.9546879999999
10.0,1000.973046,30.85,69.8,66.25,996.4,30.0,66.5,998.1250779999999
11.0,1000.346953,30.83,69.7,70.28,995.9,29.9,66.7,997.498985
12.0,999.804453,30.81,69.7,74.01,995.3,29.8,66.8,996.9564849999999
13.0,999.221093,30.81,69.8,78.97,994.8,29.8,66.9,996.373125
14.0,998.661562,30.76,69.8,86.11,994.3,29.7,66.9,995.813594
15.0,998.041093,30.74,69.8,92.54,993.8,29.7,67.0,995.193125
16.0,997.502968,30.72,69.9,97.89,993.2,29.7,67.1,994.655
17.0,997.074375,30.69,70.0,103.44,992.7,29.6,67.3,994.226407
18.0,996.799843,30.67,70.0,108.89,992.2,29.6,67.4,993.951875
19.0,996.497421,30.64,70.1,115.26,991.6,29.5,67.5,993.649453
20.0,995.770468,30.61,70.2,120.74,991.1,29.5,67.7,992.9225
21.0,995.152343,30.58,70.3,127.37,990.5,29.4,67.9,992.3043749999999
22.0,994.599921,30.55,70.4,134.72,990.0,29.4,68.1,991.751953
23.0,994.017812,30.52,70.4,142.19,989.5,29.3,68.2,991.169844
24.0,993.230546,30.48,70.5,144.04,989.0,29.3,68.3,990.382578
25.0,992.742265,30.44,70.6,155.01,988.5,29.3,68.4,989.8942969999999
26.0,992.36039,30.42,70.7,156.31,988.0,29.2,68.6,989.512422
27.0,991.889375,30.39,70.8,162.15,987.5,29.2,68.7,989.0414069999999
