time,p_st,t_st,rh_st,z_st,p_vs,t_vs,rh_vs,p_st_adj
0.0,999.694062,27.79,84.0,28.95,998.1,27.8,85.0,998.1
1.0,998.908515,27.8,84.0,34.0,997.4,27.7,83.8,997.314453
2.0,998.070234,27.81,83.7,40.72,996.6,27.6,83.7,996.476172
3.0,997.627968,27.79,83.6,46.59,996.2,27.6,83.5,996.033906
4.0,997.123125,27.79,83.5,50.65,995.5,27.5,83.3,995.529063
5.0,996.398281,27.78,83.5,59.9,994.9,27.5,83.0,994.804219
6.0,995.708593,27.78,83.5,66.77,994.2,27.4,82.9,994.1145309999999
7.0,995.411562,27.77,83.4,72.35,993.5,27.4,82.9,993.8175
8.0,994.688125,27.75,83.5,79.76,992.9,27.3,82.9,993.094063
9.0,993.963593,27.74,83.4,85.52,992.3,27.2,82.9,992.3695309999999
10.0,993.266796,27.73,83.4,89.91,991.7,27.2,82.9,991.672734
11.0,992.684687,27.7,83.4,92.89,991.0,27.1,83.1,991.090625
12.0,992.285468,27.67,83.4,100.29,990.5,27.1,83.3,990.691406
13.0,991.42039,27.66,83.5,109.02,989.9,27.0,83.5,989.826328
14.0,990.91414,27.64,83.5,111.66,989.4,27.0,83.7,989.320078
15.0,990.729062,27.62,83.6,119.71,988.8,26.9,83.9,989.135
16.0,990.434687,27.6,83.5,129.52,988.3,26.8,84.0,988.840625
17.0,989.665859,27.57,83.7,141.71,987.8,26.8,84.4,988.071797
18.0,988.991171,27.53,83.8,150.72,987.3,26.8,84.6,987.397109
19.0,988.236875,27.51,83.9,160.03,986.8,26.8,84.7,986.642813
20.0,987.894218,27.48,83.9,168.27,986.3,26.7,84.7,986.300156
21.0,987.619375,27.46,83.9,174.47,985.7,26.6,84.8,986.025313
22.0,987.06,27.41,83.9,180.88,985.2,26.5,85.2,985.4659379999999
23.0,986.337812,27.38,84.0,186.67,984.7,26.5,85.6,984.74375
24.0,985.811875,27.33,84.1,194.17,984.2,26.4,85.9,984.217813
25.0,985.460937,27.3,84.2,196.86,983.7,26.3,86.0,983.8668749999999
26.0,984.958281,27.26,84.4,202.44,983.3,26.3,86.0,983.364219
27.0,984.584218,27.22,84.4,204.46,982.9,26.3,86.1,982.990156
28.0,984.4375,27.19,84.5,206.93,982.5,26.2,86.1,982.843438
29.0,984.021796,27.16,84.6,213.12,982.1,26.2,86.2,982.427734
30.0,983.683906,27.11,84.9,221.14,981.8,26.2,86.5,982.089844
31.0,983.536718,27.08,85.1,225.21,981.4,26.2,86.9,981.9426559999999
32.0,982.982656,27.04,85.1,226.02,981.0,26.1,87.1,981.388594
33.0,982.435937,27.01,85.3,225.05,980.7,26.1,87.3,980.841875
34.0,982.063593,26.96,85.4,228.64,980.3,26.0,87.5,980.469531
35.0,981.667968,26.92,85.5,230.27,979.9,26.0,87.5,980.073906
36.0,981.1625,26.89,85.5,234.93,979.4,26.0,87.3,979.568438
37.0,980.800312,26.86,85.5,241.95,979.0,26.0,86.9,979.20625
38.0,980.409453,26.83,85.5,245.91,978.6,26.1,86.4,978.815391
39.0,980.169375,26.8,85.6,250.08,978.2,26.1,86.1,978.5753129999999
40.0,979.4475,26.76,85.7,251.56,977.7,26.1,85.9,977.853438
41.0,979.03414,26.75,85.7,251.26,977.3,26.2,85.8,977.440078
42.0,978.764531,26.72,85.7,254.89,976.8,26.1,85.8,977.170469
43.0,978.12789,26.68,85.8,244.4,976.4,26.1,85.9,976.533828
44.0,977.54414,26.67,85.8,248.9,975.9,26.1,86.1,975.950078
45.0,977.157343,26.61,85.9,254.83,975.3,26.0,86.5,975.563281
46.0,976.526171,26.61,86.0,257.77,974.8,25.9,86.9,974.932109
47.0,975.773359,26.56,86.1,265.43,974.2,25.8,87.3,974.179297
48.0,975.23164,26.53,86.2,269.65,973.6,25.8,87.6,973.637578
49.0,974.364062,26.5,86.3,277.03,972.9,25.7,87.8,972.77
50.0,973.725468,26.46,86.4,279.72,972.3,25.7,87.7,972.131406
51.0,973.068359,26.42,86.5,289.6,971.6,25.8,87.4,971.474297
52.0,972.505,26.41,86.6,293.41,971.0,25.7,87.0,970.910938
53.0,971.936953,26.38,86.7,299.13,970.3,25.8,86.3,970.342891
54.0,971.331718,26.35,86.8,303.46,969.7,25.9,85.5,969.737656
55.0,970.808359,26.33,87.0,312.19,969.1,26.1,84.5,969.214297
56.0,970.201093,26.33,87.1,316.41,968.5,26.3,83.4,968.607031
57.0,969.429531,26.32,87.1,318.95,967.9,26.5,82.8,967.835469
58.0,968.786562,26.32,87.2,325.67,967.3,26.5,83.1,967.1925
59.0,968.215625,26.32,87.4,329.51,966.7,26.4,83.9,966.621563
60.0,967.771406,26.32,87.6,333.68,966.2,26.4,84.7,966.177344
61.0,967.245937,26.32,87.7,337.43,965.6,26.3,85.2,965.651875
62.0,966.845468,26.32,87.7,343.25,965.1,26.3,85.2,965.251406
63.0,966.280937,26.31,87.7,347.94,964.6,26.3,85.3,964.686875
64.0,965.835937,26.33,87.7,352.7,964.0,26.2,85.3,964.2418749999999
65.0,965.245625,26.32,87.5,356.59,963.5,26.2,85.3,963.651563
66.0,964.584921,26.31,87.4,360.78,962.9,26.1,85.4,962.990859
67.0,964.184531,26.32,87.4,366.93,962.3,26.1,85.6,962.590469
68.0,963.417343,26.31,87.3,372.6,961.8,26.0,85.7,961.823281
69.0,962.917343,26.3,87.2,380.03,961.2,26.0,86.0,961.323281
70.0,962.308906,26.29,87.3,387.06,960.6,26.0,86.3,960.714844
71.0,961.611562,26.28,87.4,388.76,960.0,25.9,86.7,960.0175
72.0,961.084843,26.27,87.4,395.54,959.4,25.9,87.1,959.490781
73.0,960.440312,26.26,87.5,400.9,958.8,25.8,87.3,958.8462499999999
74.0,959.742031,26.24,87.7,406.68,958.2,25.8,87.6,958.147969
75.0,958.991562,26.22,87.8,415.31,957.5,25.7,87.9,957.3975
76.0,958.406875,26.2,87.9,420.68,956.9,25.7,88.1,956.812813
77.0,957.808281,26.19,87.9,427.46,956.2,25.6,88.1,956.214219
78.0,957.102109,26.15,87.9,437.22,955.6,25.6,88.2,955.508047
79.0,956.440468,26.15,88.0,440.9,954.9,25.5,88.4,954.846406
80.0,955.697421,26.12,88.0,448.49,954.3,25.5,88.6,954.103359
81.0,955.192812,26.1,88.1,455.07,953.6,25.4,88.8,953.59875
82.0,954.571093,26.08,88.1,459.08,953.0,25.4,88.9,952.977031
83.0,954.043906,26.04,88.2,462.62,952.3,25.3,89.1,952.449844
84.0,953.332656,26.02,88.3,468.59,951.7,25.3,89.2,951.738594
85.0,952.615781,26.0,88.4,474.69,951.0,25.2,89.5,951.021719
86.0,951.889453,25.96,88.5,482.23,950.4,25.2,89.7,950.295391
