time,p_st,t_st,rh_st,z_st,p_vs,t_vs,rh_vs,p_st_adj
0.0,1018.201328,16.69,72.5,99.47,1019.1,15.8,73.0,1019.1
0.0,1018.00625,16.65,72.1,95.39,1019.1,15.8,73.0,1018.904922
2.0,1017.209218,16.61,71.9,101.23,1017.1,15.7,68.3,1018.10789
2.0,1016.199062,16.57,71.8,107.6,1017.1,15.7,68.3,1017.0977340000001
4.0,1015.650468,16.53,71.8,104.25,1016.3,15.6,67.5,1016.5491400000001
4.0,1015.147968,16.49,71.8,111.03,1016.3,15.6,67.5,1016.04664
5.0,1014.467656,16.44,71.8,112.28,1015.5,15.6,67.3,1015.3663280000001
6.0,1013.681093,16.4,71.9,115.78,1014.8,15.5,67.2,1014.5797650000001
7.0,1013.196093,16.37,72.1,118.04,1014.2,15.5,67.0,1014.094765
8.0,1012.675625,16.32,72.2,118.35,1013.5,15.4,67.1,1013.574297
9.0,1012.149609,16.29,72.2,123.74,1012.9,15.4,67.3,1013.0482810000001
10.0,1011.58875,16.26,72.3,128.88,1012.3,15.3,67.4,1012.487422
11.0,1011.224218,16.23,72.5,136.08,1011.7,15.3,67.4,1012.12289
12.0,1010.942187,16.21,72.6,139.35,1011.1,15.3,67.4,1011.840859
14.0,1009.86664,16.14,72.3,143.34,1010.0,15.2,67.4,1010.765312
14.0,1009.160859,16.09,72.2,148.6,1010.0,15.2,67.4,1010.059531
15.0,1008.543125,16.05,72.4,156.58,1009.5,15.2,67.5,1009.4417970000001
16.0,1007.921718,16.0,72.7,163.71,1008.9,15.1,67.4,1008.8203900000001
17.0,1007.563906,15.95,72.6,168.05,1008.3,15.0,67.7,1008.462578
19.0,1006.7375,15.9,72.6,175.55,1007.1,15.0,68.4,1007.636172
19.0,1006.059687,15.85,72.7,182.42,1007.1,15.0,68.4,1006.9583590000001
20.0,1005.404062,15.81,72.6,187.71,1006.5,14.9,68.1,1006.302734
21.0,1004.87539,15.75,72.8,188.97,1005.8,14.8,68.1,1005.7740620000001
22.0,1004.424453,15.72,73.0,189.42,1005.2,14.7,68.3,1005.323125
24.0,1003.813906,15.67,73.1,190.04,1004.0,14.6,68.6,1004.712578
24.0,1003.2375,15.63,73.2,195.32,1004.0,14.6,68.6,1004.136172
25.0,1002.755781,15.6,73.3,200.47,1003.5,14.6,68.7,1003.654453
26.0,1002.18,15.55,73.4,204.56,1002.9,14.5,68.9,1003.078672
27.0,1001.58,15.5,73.5,209.64,1002.3,14.5,69.1,1002.4786720000001
28.0,1000.790234,15.46,73.7,219.94,1001.7,14.4,69.1,1001.6889060000001
29.0,1000.182031,15.39,73.8,232.09,1001.2,14.4,69.3,1001.0807030000001
30.0,999.6225,15.36,73.9,243.96,1000.6,14.3,69.7,1000.521172
31.0,999.080937,15.32,74.1,247.73,1000.0,14.3,70.0,999.979609
33.0,998.577968,15.29,74.3,253.78,998.8,14.1,70.4,999.4766400000001
33.0,998.158515,15.23,74.4,254.46,998.8,14.1,70.4,999.057187
35.0,997.477421,15.19,74.5,257.47,997.6,14.0,70.6,998.3760930000001
35.0,996.848359,15.14,74.5,268.29,997.6,14.0,70.6,997.747031
36.0,996.285625,15.1,74.6,274.64,997.0,14.0,70.6,997.184297
38.0,995.59,15.06,74.7,279.07,995.8,14.0,70.7,996.4886720000001
38.0,994.989296,14.99,74.9,286.59,995.8,14.0,70.7,995.887968
40.0,994.441796,14.96,75.0,293.87,994.7,13.9,71.4,995.340468
40.0,993.741484,14.9,75.2,289.6,994.7,13.9,71.4,994.640156
42.0,992.526953,14.83,75.4,295.22,993.5,13.8,71.6,993.4256250000001
44.0,991.851718,14.75,75.6,296.27,992.2,13.7,72.1,992.75039
44.0,991.266093,14.71,75.9,300.32,992.2,13.7,72.1,992.164765
45.0,990.690781,14.66,76.1,305.69,991.6,13.6,72.2,991.589453
46.0,989.930468,14.62,76.3,309.07,991.0,13.6,72.5,990.82914
47.0,989.296875,14.57,76.4,315.9,990.3,13.5,73.0,990.195547
48.0,988.756718,14.52,76.6,317.01,989.7,13.4,73.3,989.65539
49.0,988.158125,14.48,76.6,320.87,989.1,13.4,73.3,989.0567970000001
50.0,987.531718,14.45,76.9,326.97,988.4,13.3,73.5,988.43039
51.0,986.901093,14.4,77.0,329.16,987.8,13.3,73.6,987.799765
52.0,986.256406,14.35,77.1,332.24,987.2,13.2,73.7,987.155078
53.0,985.785,14.31,77.2,336.79,986.6,13.2,73.8,986.683672
54.0,985.146875,14.28,77.3,340.67,986.0,13.1,74.0,986.045547
55.0,984.333125,14.22,77.4,346.83,985.3,13.1,74.3,985.231797
57.0,983.761875,14.17,77.6,351.3,984.1,13.0,74.6,984.6605470000001
57.0,983.169218,14.13,77.7,358.35,984.1,13.0,74.6,984.06789
58.0,982.438203,14.07,77.8,364.52,983.5,13.0,74.8,983.3368750000001
59.0,981.727968,14.03,78.1,372.35,982.8,12.9,75.2,982.6266400000001
60.0,981.387656,13.98,78.2,375.57,982.2,12.8,75.3,982.286328
61.0,980.749843,13.93,78.4,378.5,981.6,12.8,75.3,981.6485150000001
62.0,980.067734,13.88,78.5,383.57,980.9,12.7,75.6,980.966406
63.0,979.548984,13.85,78.6,386.71,980.3,12.7,75.9,980.447656
64.0,978.992421,13.81,78.7,386.39,979.7,12.6,75.8,979.8910930000001
66.0,978.411328,13.75,78.9,389.84,978.5,12.6,76.1,979.3100000000001
66.0,977.82875,13.71,79.0,395.43,978.5,12.6,76.1,978.727422
67.0,977.061015,13.66,79.2,407.24,977.9,12.5,76.2,977.959687
68.0,976.402578,13.6,79.3,417.79,977.3,12.5,76.2,977.30125
70.0,975.682734,13.56,79.5,422.2,976.1,12.4,76.7,976.581406
70.0,974.856875,13.51,79.7,431.62,976.1,12.4,76.7,975.755547
71.0,974.336093,13.44,79.8,437.44,975.4,12.3,77.0,975.234765
73.0,972.644218,13.32,80.2,450.8,974.1,12.2,77.3,973.54289
74.0,972.106562,13.28,80.4,456.56,973.4,12.2,77.5,973.0052340000001
75.0,971.550781,13.25,80.6,462.69,972.6,12.1,77.5,972.4494530000001
76.0,970.796406,13.19,80.8,465.31,971.9,12.1,77.6,971.6950780000001
77.0,970.011406,13.13,81.1,472.95,971.2,12.0,78.0,970.910078
78.0,969.290156,13.08,81.3,478.29,970.6,12.0,78.2,970.1888280000001
80.0,968.439843,13.02,81.5,483.93,969.1,11.9,79.0,969.338515
80.0,967.915546,12.98,81.7,490.99,969.1,11.9,79.0,968.814218
82.0,967.103906,12.93,82.1,497.38,967.7,11.7,79.8,968.0025780000001
82.0,966.16875,12.86,82.2,505.99,967.7,11.7,79.8,967.0674220000001
83.0,965.680781,12.81,82.4,512.73,967.0,11.7,80.0,966.5794530000001
84.0,964.962343,12.78,82.6,518.0,966.3,11.6,80.1,965.8610150000001
85.0,964.06664,12.72,82.8,523.86,965.5,11.5,80.5,964.965312
86.0,963.407031,12.64,83.0,529.7,964.8,11.5,80.9,964.305703
87.0,962.626875,12.59,83.3,534.21,964.0,11.4,81.0,963.5255470000001
88.0,961.643359,12.52,83.5,539.89,963.3,11.4,81.2,962.5420310000001
89.0,960.930312,12.45,83.7,549.34,962.5,11.3,81.7,961.828984
90.0,960.424609,12.4,83.9,556.55,961.8,11.2,82.1,961.3232810000001
91.0,959.492031,12.35,84.1,562.03,961.0,11.2,82.3,960.390703
92.0,958.843125,12.28,84.4,568.73,960.2,11.1,82.6,959.741797
93.0,957.885156,12.22,84.5,574.54,959.4,11.0,82.7,958.7838280000001
94.0,956.841093,12.15,84.8,581.68,958.7,11.0,82.7,957.739765
95.0,955.997812,12.09,85.0,590.73,957.9,10.9,83.0,956.896484
96.0,955.552031,12.03,85.2,597.94,957.1,10.9,83.4,956.4507030000001
97.0,954.92164,11.98,85.4,602.72,956.3,10.8,83.8,955.8203120000001
98.0,954.094921,11.92,85.6,608.16,955.5,10.7,84.0,954.993593
100.0,953.413593,11.88,85.8,613.98,954.0,10.6,83.8,954.312265
101.0,952.294453,11.78,86.2,621.89,953.3,10.5,84.1,953.193125
102.0,951.602578,11.74,86.4,626.55,952.6,10.5,84.8,952.50125
103.0,951.079062,11.68,86.6,632.05,951.9,10.4,85.4,951.977734
104.0,950.533125,11.63,86.8,637.63,951.3,10.4,85.7,951.4317970000001
105.0,949.783437,11.6,87.0,642.36,950.6,10.3,85.9,950.6821090000001
106.0,948.96625,11.53,87.2,648.77,950.0,10.3,86.2,949.864922
107.0,948.102265,11.46,87.4,657.11,949.3,10.2,86.4,949.000937
109.0,947.673359,11.4,87.6,664.98,948.0,10.1,86.7,948.572031
109.0,947.168593,11.37,87.8,668.89,948.0,10.1,86.7,948.067265
111.0,946.559062,11.33,88.0,672.98,946.7,10.0,87.3,947.4577340000001
111.0,945.972031,11.29,88.2,676.97,946.7,10.0,87.3,946.870703
112.0,945.195312,11.24,88.4,681.91,946.1,10.0,87.2,946.093984
113.0,944.266406,11.18,88.6,687.71,945.4,9.9,87.2,945.165078
114.0,943.454296,11.11,88.8,697.04,944.8,9.9,87.5,944.352968
115.0,942.73875,11.06,89.0,702.45,944.1,9.9,88.1,943.637422
116.0,942.043437,11.01,89.2,708.69,943.4,9.8,88.4,942.9421090000001
117.0,941.328125,10.95,89.5,714.61,942.7,9.8,88.7,942.226797
118.0,940.656562,10.91,89.7,721.35,941.9,9.7,88.8,941.555234
119.0,939.905,10.86,89.9,727.73,941.2,9.7,88.7,940.803672
120.0,939.286406,10.8,90.1,733.45,940.5,9.6,88.6,940.1850780000001
121.0,938.76375,10.76,90.2,738.75,939.8,9.6,88.8,939.662422
122.0,938.088906,10.72,90.3,743.78,939.1,9.5,89.0,938.987578
123.0,937.460312,10.67,90.5,749.5,938.4,9.5,89.2,938.3589840000001
124.0,936.647109,10.61,90.7,754.86,937.7,9.4,89.3,937.545781
125.0,936.024218,10.57,90.9,761.53,937.0,9.3,89.4,936.92289
126.0,935.32125,10.51,91.1,767.92,936.4,9.3,89.6,936.219922
127.0,934.513125,10.47,91.3,776.55,935.7,9.2,90.1,935.411797
128.0,933.704609,10.41,91.1,782.61,935.0,9.2,90.4,934.603281
129.0,932.843828,10.34,90.6,790.35,934.3,9.1,90.4,933.7425000000001
130.0,932.222343,10.3,90.3,797.43,933.5,9.1,89.9,933.121015
131.0,931.592734,10.26,90.1,801.07,932.8,9.1,88.9,932.491406
132.0,930.803046,10.2,89.8,807.8,932.1,9.0,87.6,931.701718
133.0,930.117187,10.14,89.8,814.84,931.3,9.0,87.0,931.015859
134.0,929.336875,10.08,89.6,822.01,930.6,8.9,87.1,930.235547
135.0,928.538046,10.03,89.4,828.27,929.9,8.9,87.3,929.436718
136.0,927.69914,9.99,89.4,833.8,929.1,8.8,87.7,928.5978120000001
137.0,926.829921,9.92,89.3,840.51,928.4,8.8,87.6,927.728593
138.0,925.994843,9.86,89.2,847.93,927.6,8.7,87.2,926.893515
139.0,925.425,9.81,89.1,855.01,926.9,8.7,87.1,926.323672
140.0,924.768203,9.76,89.1,861.45,926.1,8.6,87.0,925.666875
141.0,923.849218,9.71,89.2,867.2,925.3,8.6,86.8,924.74789
142.0,923.244765,9.66,89.4,873.59,924.6,8.5,86.7,924.1434370000001
143.0,922.342812,9.61,89.5,879.54,923.8,8.5,86.7,923.241484
144.0,921.531875,9.55,89.5,886.71,923.0,8.5,87.0,922.430547
145.0,920.871093,9.52,89.4,894.66,922.3,8.4,87.4,921.769765
147.0,919.457968,9.42,89.5,906.42,920.8,8.4,86.8,920.3566400000001
148.0,918.870468,9.37,89.6,912.73,920.0,8.4,86.4,919.76914
149.0,918.264375,9.34,89.7,919.73,919.3,8.3,86.2,919.163047
150.0,917.456718,9.3,89.7,926.02,918.6,8.3,86.4,918.35539
151.0,916.929218,9.26,89.9,933.48,917.9,8.2,86.8,917.82789
