Time,Height,P,T,RH,WS,WD
0.0,64.79,999.808359,28.11,85.8,0.12222222222222222,349.75
1.0,65.03,999.825937,28.12,85.9,0.11111111111111112,349.75
2.0,63.82,999.765234,28.12,86.2,0.586111111111111,349.75
4.0,66.93,998.68914,28.07,85.9,3.95,252.95
5.0,66.7,998.072421,28.06,85.1,2.625,220.07999999999998
6.0,67.65,997.616171,28.04,84.6,2.8555555555555556,191.63
7.0,69.0,996.978593,28.01,84.3,3.275,161.38
8.0,72.98,996.634843,27.98,84.2,3.433333333333333,73.25
9.0,77.81,996.024375,27.96,84.3,4.066666666666666,17.99000000000001
10.0,81.57,995.678437,27.93,84.4,3.7055555555555557,356.63
11.0,86.65,995.098906,27.91,84.7,2.9194444444444443,355.83000000000004
12.0,90.76,994.453125,27.88,84.9,2.3305555555555557,27.52000000000001
13.0,94.13,993.762187,27.86,85.0,4.833333333333333,174.19
14.0,98.73,993.184531,27.82,85.2,4.847222222222222,174.19
15.0,101.95,992.779843,27.79,85.3,5.922222222222222,142.85000000000002
16.0,102.06,992.294531,27.77,85.4,5.316666666666666,127.36000000000001
17.0,105.36,991.796562,27.75,85.5,4.605555555555555,101.63
18.0,108.12,991.299062,27.72,85.6,5.452777777777778,19.900000000000006
19.0,110.06,990.940156,27.7,85.8,4.258333333333334,8.219999999999999
20.0,113.27,990.290156,27.66,86.0,5.830555555555555,347.69
21.0,115.4,989.606484,27.63,86.1,5.6305555555555555,289.1
22.0,114.86,989.139062,27.61,86.2,7.219444444444445,244.49
23.0,115.68,988.746875,27.58,86.2,6.330555555555555,227.19
24.0,118.26,988.358125,27.56,86.3,5.35,218.13
25.0,123.72,987.961875,27.52,86.4,3.5527777777777776,187.98
26.0,132.11,987.363125,27.49,86.5,2.1166666666666667,145.26999999999998
27.0,139.33,986.912656,27.48,86.4,3.286111111111111,61.25
28.0,144.94,986.260312,27.44,86.5,5.872222222222222,16.0
29.0,151.9,985.725234,27.43,86.6,7.288888888888889,330.12
30.0,161.92,985.118593,27.41,86.6,6.602777777777778,308.23
31.0,165.14,984.751562,27.36,86.7,5.963888888888889,272.95
32.0,169.13,984.334296,27.35,86.8,5.636111111111111,240.88
33.0,181.55,983.782656,27.32,86.8,4.419444444444445,225.26
34.0,192.2,983.447109,27.3,86.9,3.2916666666666665,176.64999999999998
35.0,199.0,982.908906,27.28,87.0,2.2,162.26
36.0,205.21,982.387734,27.26,87.1,2.9,111.82
37.0,209.45,981.956093,27.23,87.1,4.5361111111111105,31.25999999999999
38.0,214.92,981.441796,27.19,87.2,4.519444444444445,16.669999999999987
39.0,223.01,980.914453,27.17,87.2,3.7527777777777778,336.23
40.0,226.43,980.429218,27.13,87.4,4.563888888888888,327.21000000000004
41.0,229.12,979.866562,27.11,87.3,2.5833333333333335,297.02
42.0,231.84,979.3775,27.08,87.0,4.0,253.39
43.0,233.72,978.839921,27.05,86.9,2.7777777777777777,229.21
44.0,238.03,978.378906,27.01,86.9,3.941666666666667,214.54
45.0,240.21,977.880625,27.0,86.9,4.397222222222222,111.19
46.0,244.28,977.345156,26.97,86.6,3.6527777777777777,93.41000000000003
47.0,247.97,976.941562,26.94,86.3,1.597222222222222,93.41000000000003
48.0,247.91,976.418593,26.91,85.9,1.4666666666666666,93.41000000000003
49.0,248.17,976.111093,26.89,85.8,3.661111111111111,3.5
50.0,251.95,975.755,26.87,85.8,5.091666666666667,311.39
51.0,258.11,975.272968,26.86,85.6,5.102777777777778,277.27
52.0,261.58,974.797343,26.83,85.4,4.6,252.91
53.0,267.01,974.292343,26.82,85.4,3.4277777777777776,248.17000000000002
54.0,270.06,973.754218,26.79,85.4,3.5027777777777778,192.69
55.0,277.04,973.199218,26.77,85.4,2.2472222222222222,166.16000000000003
56.0,282.64,972.570937,26.75,85.5,2.4583333333333335,100.19
57.0,287.48,972.264296,26.73,85.5,2.563888888888889,83.37
58.0,290.77,971.801093,26.73,85.4,1.672222222222222,69.27000000000001
59.0,295.58,971.119687,26.7,85.3,2.2972222222222225,315.97
60.0,303.12,970.390859,26.69,85.4,2.05,297.92
61.0,309.28,969.783281,26.65,85.3,2.4722222222222223,262.45
62.0,313.59,969.282656,26.63,85.3,2.805555555555556,232.95
63.0,317.55,968.921718,26.62,85.4,1.3083333333333333,226.71
64.0,321.26,968.492031,26.6,85.5,3.094444444444444,138.95
65.0,326.28,967.992656,26.58,85.6,1.725,113.44
66.0,330.33,967.497343,26.58,85.6,3.0166666666666666,65.25999999999999
67.0,334.16,966.982812,26.54,85.7,3.1777777777777776,19.889999999999986
68.0,339.44,966.392187,26.52,85.8,2.5083333333333333,7.699999999999989
69.0,344.17,965.851562,26.5,85.9,3.2694444444444444,300.28
70.0,348.86,965.390937,26.48,86.0,4.988888888888889,285.2
71.0,353.64,964.872968,26.45,86.1,4.816666666666666,272.4
72.0,357.37,964.49375,26.44,86.2,2.961111111111111,254.67000000000002
74.0,368.13,963.287421,26.39,86.3,0.6333333333333333,218.59
