Time,Height,P,T,RH,WS,WD
0.2,99.47,1018.201328,16.69,72.5,1.3333333333333333,212.22
0.9,95.39,1018.00625,16.65,72.1,6.997222222222222,102.10000000000002
2.0,101.23,1017.209218,16.61,71.9,9.38888888888889,92.73000000000002
2.9,107.6,1016.199062,16.57,71.8,5.088888888888889,91.62
4.0,104.25,1015.650468,16.53,71.8,2.7722222222222226,84.30000000000001
4.9,111.03,1015.147968,16.49,71.8,6.383333333333334,354.41999999999996
5.9,112.28,1014.467656,16.44,71.8,7.305555555555555,358.99
6.9,115.78,1013.681093,16.4,71.9,4.677777777777778,356.51
7.9,118.04,1013.196093,16.37,72.1,2.4222222222222225,324.16999999999996
8.9,118.35,1012.675625,16.32,72.2,6.136111111111111,267.26
9.9,123.74,1012.149609,16.29,72.2,6.586111111111111,193.32
10.9,128.88,1011.58875,16.26,72.3,4.194444444444445,186.04
11.9,136.08,1011.224218,16.23,72.5,1.6444444444444446,185.69
12.9,139.35,1010.942187,16.21,72.6,2.6222222222222222,300.04
14.0,143.34,1009.86664,16.14,72.3,4.097222222222222,28.72999999999999
14.9,148.6,1009.160859,16.09,72.2,2.780555555555556,29.0
15.9,156.58,1008.543125,16.05,72.4,1.4805555555555554,29.0
16.9,163.71,1007.921718,16.0,72.7,4.377777777777778,114.27999999999997
17.9,168.05,1007.563906,15.95,72.6,9.041666666666664,117.50999999999999
19.0,175.55,1006.7375,15.9,72.6,10.708333333333334,104.23000000000002
19.9,182.42,1006.059687,15.85,72.7,10.305555555555555,109.25999999999999
20.9,187.71,1005.404062,15.81,72.6,7.375,111.57999999999998
21.9,188.97,1004.87539,15.75,72.8,4.027777777777778,61.639999999999986
22.9,189.42,1004.424453,15.72,73.0,1.4638888888888888,61.150000000000006
24.0,190.04,1003.813906,15.67,73.1,3.7777777777777777,33.56999999999999
24.9,195.32,1003.2375,15.63,73.2,5.213888888888889,77.04000000000002
25.9,200.47,1002.755781,15.6,73.3,8.802777777777777,109.00999999999999
26.9,204.56,1002.18,15.55,73.4,10.269444444444444,123.85000000000002
27.9,209.64,1001.58,15.5,73.5,8.091666666666667,142.12
28.9,219.94,1000.790234,15.46,73.7,5.022222222222222,142.89
29.9,232.09,1000.182031,15.39,73.8,3.558333333333333,94.18
30.9,243.96,999.6225,15.36,73.9,6.897222222222222,63.31
31.9,247.73,999.080937,15.32,74.1,9.05,75.80000000000001
33.0,253.78,998.577968,15.29,74.3,8.802777777777777,78.68
33.9,254.46,998.158515,15.23,74.4,10.16388888888889,99.08999999999997
35.0,257.47,997.477421,15.19,74.5,8.8,113.06
35.9,268.29,996.848359,15.14,74.5,5.808333333333334,112.0
36.9,274.64,996.285625,15.1,74.6,4.1,111.99000000000001
38.0,279.07,995.59,15.06,74.7,4.080555555555556,85.38999999999999
38.9,286.59,994.989296,14.99,74.9,6.788888888888889,84.88
40.0,293.87,994.441796,14.96,75.0,9.727777777777778,95.39999999999998
40.9,289.6,993.741484,14.9,75.2,8.280555555555555,112.56
42.9,295.22,992.526953,14.83,75.4,6.055555555555555,104.92000000000002
44.0,296.27,991.851718,14.75,75.6,4.483333333333333,92.25999999999999
44.9,300.32,991.266093,14.71,75.9,7.402777777777778,72.00999999999999
45.9,305.69,990.690781,14.66,76.1,7.902777777777778,86.26999999999998
46.9,309.07,989.930468,14.62,76.3,8.15,93.57999999999998
47.9,315.9,989.296875,14.57,76.4,9.233333333333333,110.54000000000002
48.9,317.01,988.756718,14.52,76.6,7.138888888888888,130.25
49.9,320.87,988.158125,14.48,76.6,7.363888888888889,123.22000000000003
50.9,326.97,987.531718,14.45,76.9,3.930555555555556,122.91000000000003
51.9,329.16,986.901093,14.4,77.0,3.8833333333333333,112.76999999999998
52.9,332.24,986.256406,14.35,77.1,6.511111111111111,78.32
53.9,336.79,985.785,14.31,77.2,7.413888888888889,66.28
54.9,340.67,985.146875,14.28,77.3,8.555555555555555,78.94999999999999
55.9,346.83,984.333125,14.22,77.4,8.063888888888888,93.44
57.0,351.3,983.761875,14.17,77.6,8.180555555555555,123.04000000000002
57.9,358.35,983.169218,14.13,77.7,8.533333333333333,116.26999999999998
58.9,364.52,982.438203,14.07,77.8,6.838888888888889,116.61000000000001
59.9,372.35,981.727968,14.03,78.1,4.691666666666666,84.39999999999998
60.9,375.57,981.387656,13.98,78.2,6.8,72.35
61.9,378.5,980.749843,13.93,78.4,6.280555555555555,71.91
62.9,383.57,980.067734,13.88,78.5,9.052777777777779,79.77999999999997
