Time,Height,P,T,U,WS,WD,Ascent
0.0,11.0,997.7,26.4,95.0,0.8,197.0,0.0
0.5,15.0,997.2,26.5,95.9,0.4,193.2,432.0
1.5,18.0,996.9,26.5,95.4,0.2,192.9,187.0
2.5,26.0,996.0,26.7,93.6,0.2,200.1,461.0
3.5,30.0,995.5,26.9,91.4,0.2,211.2,260.0
4.5,35.0,995.0,26.9,89.9,0.2,219.4,318.0
5.5,39.0,994.5,26.9,89.2,0.3,225.3,242.0
6.5,43.0,994.1,26.9,89.0,0.3,229.8,203.0
7.5,46.0,993.6,26.9,89.1,0.4,233.5,214.0
8.5,51.0,993.0,26.9,89.3,0.4,236.7,262.0
9.5,57.0,992.5,26.9,89.4,0.5,240.0,374.0
10.5,63.0,992.0,26.8,89.5,0.5,242.9,354.0
11.5,67.0,991.4,26.8,89.6,0.6,245.6,279.0
12.5,72.0,990.9,26.8,89.7,0.7,247.8,300.0
13.5,76.0,990.4,26.7,90.0,0.7,249.8,240.0
14.5,80.0,989.8,26.7,90.2,0.8,251.6,234.0
15.5,85.0,989.3,26.6,90.4,0.8,253.3,308.0
16.5,91.0,988.8,26.6,90.6,0.9,254.9,324.0
17.5,95.0,988.3,26.6,90.7,1.0,256.3,248.0
18.5,100.0,987.8,26.6,90.8,1.0,257.6,277.0
19.5,104.0,987.3,26.6,90.8,1.1,258.7,285.0
20.5,109.0,986.8,26.5,90.7,1.1,259.6,303.0
21.5,113.0,986.3,26.5,90.8,1.2,260.5,189.0
22.5,116.0,985.8,26.4,91.0,1.2,261.4,233.0
23.5,122.0,985.3,26.4,91.0,1.2,262.1,306.0
24.5,126.0,984.8,26.4,90.9,1.3,262.9,255.0
25.5,131.0,984.3,26.4,90.9,1.3,263.6,286.0
26.5,135.0,983.8,26.4,91.0,1.3,264.2,277.0
27.5,140.0,983.3,26.4,91.2,1.3,264.8,275.0
28.5,145.0,982.8,26.3,91.3,1.3,265.2,308.0
29.5,149.0,982.3,26.3,91.4,1.3,265.6,254.0
30.5,154.0,981.8,26.2,91.5,1.3,265.9,263.0
31.5,158.0,981.3,26.2,91.6,1.3,266.1,253.0
32.5,162.0,980.9,26.2,91.8,1.3,266.2,232.0
33.5,166.0,980.4,26.1,91.9,1.3,266.3,269.0
34.5,170.0,979.9,26.1,92.1,1.3,266.4,255.0
35.5,174.0,979.4,26.1,92.3,1.3,266.3,224.0
36.5,179.0,978.9,26.0,92.5,1.2,266.3,274.0
37.5,185.0,978.4,26.0,92.6,1.2,266.1,363.0
38.5,189.0,977.9,26.0,92.3,1.2,265.8,240.0
39.5,194.0,977.4,26.0,91.9,1.1,265.4,297.0
40.5,199.0,976.8,26.0,91.7,1.1,264.8,294.0
41.5,203.0,976.3,25.9,91.7,1.1,264.3,274.0
42.5,208.0,975.8,25.9,91.3,1.1,263.7,307.0
43.5,213.0,975.4,25.9,90.6,1.0,263.2,247.0
44.5,216.0,974.9,25.9,89.9,1.0,262.8,193.0
45.5,220.0,974.4,25.9,89.4,1.0,262.4,285.0
46.5,224.0,974.0,25.9,89.3,0.9,262.0,228.0
47.5,229.0,973.6,25.9,89.3,0.9,261.5,255.0
48.5,232.0,973.1,26.0,89.2,0.9,261.0,202.0
49.5,235.0,972.7,26.0,89.0,0.9,260.6,202.0
50.5,240.0,972.2,25.9,89.1,0.8,260.3,257.0
51.5,244.0,971.7,25.9,89.3,0.8,260.2,272.0
52.5,249.0,971.2,25.9,89.5,0.8,260.5,292.0
53.5,253.0,970.7,25.8,89.6,0.8,261.0,250.0
54.5,260.0,970.2,25.8,89.5,0.8,261.6,391.0
55.5,263.0,969.7,25.8,89.0,0.8,262.4,201.0
56.5,267.0,969.1,25.8,88.8,0.8,263.4,223.0
57.5,273.0,968.6,25.8,89.0,0.8,264.3,348.0
58.5,279.0,968.0,25.8,89.2,0.8,265.4,375.0
59.5,285.0,967.5,25.7,89.3,0.8,266.5,385.0
60.5,290.0,967.0,25.7,89.4,0.8,267.7,268.0
61.5,294.0,966.4,25.6,89.6,0.9,269.0,230.0
62.5,297.0,965.9,25.6,89.9,0.9,270.4,232.0
63.5,302.0,965.4,25.6,90.1,0.9,271.8,278.0
64.5,306.0,964.9,25.6,90.2,1.0,273.1,245.0
65.5,312.0,964.4,25.5,90.4,1.0,274.3,356.0
66.5,317.0,963.9,25.5,90.7,1.1,275.3,283.0
67.5,321.0,963.4,25.4,90.9,1.1,276.2,239.0
68.5,325.0,962.9,25.4,91.0,1.2,277.1,270.0
69.5,330.0,962.4,25.4,90.8,1.3,277.9,251.0
70.5,334.0,961.9,25.4,90.5,1.3,278.8,283.0
71.5,339.0,961.4,25.5,90.2,1.4,279.7,310.0
72.5,345.0,960.9,25.5,90.1,1.4,280.6,324.0
73.5,348.0,960.5,25.4,90.0,1.5,281.6,197.0
74.5,353.0,960.0,25.4,90.1,1.5,282.5,266.0
75.5,357.0,959.5,25.4,90.5,1.5,283.3,237.0
76.5,361.0,959.0,25.3,90.8,1.6,284.1,286.0
77.5,365.0,958.6,25.3,91.0,1.6,285.0,234.0
78.5,369.0,958.1,25.3,91.2,1.6,285.9,231.0
79.5,374.0,957.6,25.2,91.4,1.7,286.8,311.0
80.5,379.0,957.1,25.2,91.4,1.7,287.8,270.0
81.5,384.0,956.6,25.2,91.4,1.7,288.7,309.0
82.5,388.0,956.1,25.1,91.4,1.7,289.7,254.0
83.5,393.0,955.5,25.1,91.5,1.8,290.6,283.0
