Time,Height,P,T,U,WS,WD,Ascent
0.0,11.0,1015.8,18.9,99.0,1.0,223.0,999.0
0.9,15.0,1015.3,18.9,99.0,1.4,180.8,999.0
1.9,19.0,1014.8,18.7,99.4,1.7,172.7,999.0
2.9,25.0,1014.1,18.7,99.4,1.9,171.7,999.0
3.9,32.0,1013.3,18.6,99.0,2.0,173.3,999.0
4.9,37.0,1012.7,18.6,98.5,2.0,175.4,999.0
5.9,39.0,1012.4,18.5,98.1,2.1,177.3,999.0
6.9,42.0,1011.9,18.5,97.7,2.2,179.0,999.0
7.9,47.0,1011.4,18.5,97.5,2.3,180.4,999.0
8.9,52.0,1010.9,18.4,97.4,2.4,181.9,999.0
9.9,58.0,1010.4,18.3,97.2,2.5,183.2,999.0
10.9,61.0,1009.8,18.3,97.1,2.6,184.6,999.0
11.9,66.0,1009.3,18.3,97.0,2.7,185.9,999.0
12.9,71.0,1008.8,18.2,97.1,2.8,187.2,999.0
13.9,75.0,1008.2,18.2,97.3,2.9,188.6,999.0
14.9,80.0,1007.7,18.2,97.5,3.0,189.8,999.0
15.9,84.0,1007.2,18.1,97.5,3.0,191.1,999.0
16.9,89.0,1006.6,18.1,97.4,3.1,192.3,999.0
17.9,94.0,1006.1,18.1,97.1,3.2,193.5,999.0
18.9,98.0,1005.6,18.1,96.7,3.2,194.6,999.0
19.9,102.0,1005.0,18.1,96.7,3.3,195.7,999.0
20.9,106.0,1004.5,18.0,97.0,3.3,196.7,999.0
21.9,111.0,1003.9,18.0,97.2,3.4,197.7,999.0
22.9,117.0,1003.4,18.0,97.4,3.4,198.6,999.0
23.9,121.0,1002.9,17.9,97.5,3.4,199.5,999.0
24.9,126.0,1002.3,17.9,97.6,3.4,200.3,999.0
25.9,130.0,1001.8,17.8,97.9,3.5,201.0,999.0
26.9,135.0,1001.2,17.8,98.1,3.5,201.7,999.0
27.9,140.0,1000.6,17.8,98.4,3.5,202.3,999.0
28.9,144.0,1000.1,17.8,98.6,3.5,202.8,999.0
29.9,149.0,999.5,17.8,98.9,3.4,203.3,999.0
30.9,155.0,998.9,17.7,99.2,3.4,203.7,999.0
31.9,161.0,998.3,17.7,99.2,3.4,204.0,999.0
32.9,166.0,997.7,17.7,99.0,3.4,204.3,999.0
33.9,171.0,997.1,17.7,98.6,3.3,204.6,999.0
34.9,175.0,996.5,17.7,98.3,3.3,204.8,999.0
35.9,180.0,995.9,17.7,98.4,3.2,205.0,999.0
36.9,185.0,995.4,17.8,98.1,3.1,205.2,999.0
37.9,190.0,994.8,17.9,97.6,3.1,205.4,999.0
38.9,196.0,994.2,17.9,97.3,3.0,205.6,999.0
39.9,200.0,993.6,17.9,97.0,2.9,205.8,999.0
40.9,205.0,993.0,17.9,97.1,2.9,206.0,999.0
41.9,211.0,992.5,17.9,97.2,2.8,206.2,999.0
42.9,216.0,991.9,18.0,97.1,2.7,206.6,999.0
43.9,221.0,991.3,18.0,96.9,2.6,207.1,999.0
44.9,225.0,990.7,17.9,96.7,2.5,207.7,999.0
45.9,230.0,990.2,17.9,96.5,2.4,208.6,999.0
46.9,235.0,989.6,17.9,96.4,2.3,209.7,999.0
47.9,240.0,989.0,17.9,96.5,2.2,211.0,999.0
48.9,245.0,988.4,17.9,96.3,2.1,212.8,999.0
49.9,250.0,987.9,17.9,95.9,2.0,214.8,999.0
50.9,256.0,987.3,17.9,95.7,1.9,217.3,999.0
51.9,260.0,986.7,17.9,95.5,1.8,220.3,999.0
52.9,265.0,986.1,17.9,95.3,1.7,223.7,999.0
53.9,272.0,985.6,17.9,95.2,1.6,227.8,999.0
54.9,276.0,985.0,17.9,95.1,1.5,232.4,999.0
55.9,279.0,984.5,17.9,95.0,1.5,237.6,999.0
56.9,284.0,983.9,17.8,94.9,1.4,243.2,999.0
57.9,289.0,983.4,17.8,95.0,1.4,249.2,999.0
58.9,294.0,982.8,17.8,95.0,1.4,255.3,999.0
59.9,299.0,982.3,17.8,95.1,1.4,261.3,999.0
60.9,304.0,981.7,17.7,95.3,1.4,267.0,999.0
61.9,309.0,981.2,17.7,95.2,1.5,272.3,999.0
62.9,313.0,980.6,17.7,95.3,1.5,277.0,999.0
63.9,319.0,980.0,17.7,95.5,1.6,281.2,999.0
64.9,324.0,979.5,17.7,95.4,1.6,284.8,999.0
65.9,329.0,979.0,17.7,95.2,1.7,288.0,999.0
66.9,333.0,978.4,17.6,95.1,1.8,290.7,999.0
67.9,338.0,977.9,17.6,95.0,1.8,293.0,999.0
68.9,342.0,977.4,17.6,94.9,1.9,294.9,999.0
69.9,346.0,976.8,17.6,95.1,2.0,296.5,999.0
70.9,351.0,976.3,17.6,95.1,2.0,297.8,999.0
71.9,356.0,975.8,17.6,94.8,2.1,298.9,999.0
72.9,360.0,975.2,17.7,94.7,2.1,299.7,999.0
73.9,366.0,974.7,17.6,94.6,2.1,300.3,999.0
74.9,372.0,974.2,17.7,94.4,2.2,300.8,999.0
75.9,375.0,973.6,17.7,94.0,2.2,301.1,999.0
76.9,379.0,973.1,17.7,93.8,2.2,301.2,999.0
77.9,384.0,972.6,17.7,93.6,2.2,301.2,999.0
78.9,389.0,972.0,17.6,93.1,2.2,301.1,999.0
79.9,394.0,971.5,17.6,92.6,2.2,300.9,999.0
80.9,398.0,971.0,17.6,92.3,2.2,300.6,999.0
81.9,403.0,970.4,17.6,92.2,2.2,300.2,999.0
82.9,408.0,969.9,17.6,92.3,2.2,299.6,999.0
83.9,412.0,969.3,17.6,92.5,2.2,299.0,999.0
84.9,417.0,968.8,17.6,92.9,2.1,298.3,999.0
85.9,422.0,968.2,17.6,93.2,2.1,297.5,999.0
86.9,427.0,967.7,17.5,93.3,2.1,296.7,999.0
87.9,433.0,967.1,17.5,93.2,2.1,295.9,999.0
88.9,438.0,966.5,17.5,93.0,2.1,295.1,999.0
89.9,442.0,965.9,17.5,92.9,2.1,294.2,999.0
90.9,449.0,965.4,17.4,93.0,2.1,293.3,999.0
91.9,453.0,964.8,17.4,92.8,2.1,292.4,999.0
92.9,457.0,964.2,17.4,92.5,2.1,291.5,999.0
93.9,463.0,963.6,17.4,92.6,2.1,290.6,999.0
94.9,469.0,963.0,17.4,92.5,2.1,289.8,999.0
95.9,474.0,962.3,17.4,92.3,2.1,289.0,999.0
96.9,481.0,961.7,17.4,92.3,2.1,288.2,999.0
97.9,487.0,961.1,17.4,92.4,2.2,287.4,999.0
98.9,492.0,960.4,17.4,92.5,2.2,286.7,999.0
99.9,498.0,959.8,17.4,92.5,2.2,286.0,999.0
100.9,503.0,959.2,17.3,92.4,2.2,285.3,999.0
101.9,509.0,958.6,17.3,92.4,2.3,284.7,999.0
102.9,514.0,958.0,17.3,92.5,2.3,284.0,999.0
103.9,519.0,957.4,17.3,92.5,2.4,283.4,999.0
104.9,525.0,956.8,17.3,92.7,2.4,282.7,999.0
105.9,530.0,956.2,17.2,92.9,2.5,282.0,999.0
106.9,534.0,955.7,17.2,93.1,2.5,281.3,999.0
107.9,540.0,955.1,17.2,93.4,2.6,280.6,999.0
108.9,545.0,954.5,17.2,93.9,2.6,279.8,999.0
109.9,549.0,953.9,17.1,94.1,2.7,279.1,999.0
110.9,556.0,953.2,17.1,94.1,2.7,278.3,999.0
111.9,562.0,952.6,17.1,94.3,2.8,277.5,999.0
112.9,568.0,952.0,17.1,94.2,2.8,276.7,999.0
113.9,573.0,951.4,17.1,93.9,2.8,275.8,999.0
114.9,578.0,950.8,17.1,93.8,2.9,274.9,999.0
115.9,585.0,950.1,17.1,93.9,2.9,273.9,999.0
116.9,589.0,949.5,17.0,93.8,2.9,272.9,999.0
117.9,595.0,948.9,17.0,93.9,2.9,271.8,999.0
118.9,602.0,948.2,17.0,94.1,3.0,270.6,999.0
119.9,607.0,947.6,17.0,94.0,3.0,269.4,999.0
120.9,613.0,946.9,17.0,94.1,3.0,268.1,999.0
121.9,620.0,946.3,16.9,94.3,3.0,266.8,999.0
122.9,625.0,945.6,16.9,94.3,3.0,265.4,999.0
123.9,630.0,945.0,16.9,94.4,3.0,263.9,999.0
124.9,637.0,944.3,16.9,94.7,3.0,262.5,999.0
125.9,643.0,943.7,16.9,94.9,3.0,261.0,999.0
126.9,649.0,943.0,16.8,94.9,3.0,259.5,999.0
127.9,655.0,942.3,16.8,94.8,3.0,258.0,999.0
128.9,661.0,941.7,16.8,94.5,3.0,256.7,999.0
129.9,665.0,941.1,16.8,94.4,3.0,255.4,999.0
130.9,671.0,940.4,16.8,94.4,3.0,254.2,999.0
131.9,680.0,939.8,16.7,94.6,3.0,253.2,999.0
132.9,685.0,939.2,16.7,94.6,3.1,252.3,999.0
133.9,688.0,938.6,16.6,94.6,3.1,251.7,999.0
134.9,694.0,938.0,16.6,94.7,3.2,251.3,999.0
135.9,700.0,937.4,16.6,94.6,3.2,251.1,999.0
136.9,706.0,936.8,16.6,94.5,3.3,251.2,999.0
137.9,710.0,936.3,16.6,94.5,3.4,251.6,999.0
138.9,714.0,935.7,16.5,94.9,3.4,252.2,999.0
139.9,720.0,935.2,16.5,95.4,3.5,253.0,999.0
140.9,724.0,934.6,16.5,95.7,3.6,254.1,999.0
141.9,730.0,934.1,16.5,95.8,3.8,255.3,999.0
142.9,735.0,933.5,16.4,95.8,3.9,256.6,999.0
143.9,740.0,932.9,16.4,95.9,4.0,258.1,999.0
144.9,745.0,932.4,16.3,96.2,4.2,259.5,999.0
145.9,750.0,931.8,16.3,96.5,4.4,261.0,999.0
146.9,757.0,931.1,16.3,96.9,4.6,262.4,999.0
147.9,762.0,930.5,16.2,97.1,4.8,263.8,999.0
148.9,768.0,929.9,16.1,97.2,5.0,265.2,999.0
149.9,775.0,929.3,16.1,97.5,5.2,266.4,999.0
150.9,781.0,928.6,16.0,97.7,5.4,267.6,999.0
151.9,786.0,928.0,16.0,97.7,5.6,268.6,999.0
152.9,791.0,927.4,15.9,97.9,5.8,269.6,999.0
153.9,796.0,926.8,15.9,97.8,6.0,270.4,999.0
154.9,803.0,926.2,15.9,97.7,6.2,271.1,999.0
155.9,809.0,925.6,15.9,97.4,6.4,271.7,999.0
156.9,813.0,925.0,15.9,97.2,6.6,272.1,999.0
157.9,819.0,924.4,15.9,97.3,6.8,272.5,999.0
158.9,825.0,923.9,15.9,97.5,7.0,272.7,999.0
159.9,830.0,923.3,15.9,97.6,7.1,272.9,999.0
160.9,834.0,922.8,15.9,97.5,7.2,272.9,999.0
161.9,837.0,922.3,15.9,97.5,7.4,272.8,999.0
162.9,842.0,921.7,15.9,97.7,7.5,272.7,999.0
163.9,847.0,921.2,15.9,97.7,7.6,272.4,999.0
164.9,852.0,920.6,15.9,97.7,7.6,272.1,999.0
165.9,860.0,920.0,15.9,97.8,7.7,271.7,999.0
166.9,865.0,919.4,15.8,97.9,7.7,271.2,999.0
167.9,869.0,918.9,15.8,97.9,7.8,270.7,999.0
168.9,876.0,918.3,15.8,98.1,7.8,270.1,999.0
169.9,881.0,917.7,15.7,98.4,7.8,269.5,999.0
170.9,886.0,917.1,15.7,98.7,7.8,268.8,999.0
171.9,892.0,916.6,15.7,99.0,7.8,268.0,999.0
172.9,896.0,916.0,15.6,99.1,7.8,267.3,999.0
173.9,902.0,915.4,15.6,99.0,7.8,266.5,999.0
174.9,907.0,914.9,15.6,99.0,7.7,265.7,999.0
175.9,911.0,914.3,15.6,99.0,7.7,265.0,999.0
176.9,916.0,913.7,15.6,99.2,7.7,264.2,999.0
177.9,922.0,913.2,15.6,99.5,7.7,263.5,999.0
178.9,928.0,912.6,15.5,99.6,7.6,262.9,999.0
179.9,935.0,912.0,15.5,99.8,7.6,262.3,999.0
180.9,941.0,911.4,15.5,99.9,7.6,261.7,999.0
181.9,945.0,910.8,15.5,99.8,7.6,261.3,999.0
182.9,951.0,910.2,15.6,99.8,7.6,260.8,999.0
183.9,956.0,909.6,15.6,99.8,7.5,260.5,999.0
184.9,962.0,909.0,15.6,100.0,7.5,260.3,999.0
185.9,967.0,908.4,15.6,100.0,7.5,260.1,999.0
186.9,972.0,907.8,15.6,100.0,7.5,260.0,999.0
187.9,979.0,907.2,15.6,99.9,7.5,260.0,999.0
188.9,985.0,906.6,15.6,99.9,7.4,260.1,999.0
189.9,991.0,906.0,15.6,99.7,7.4,260.2,999.0
190.9,996.0,905.4,15.6,99.4,7.4,260.4,999.0
191.9,1000.0,904.8,15.6,99.2,7.4,260.6,999.0
192.9,1006.0,904.3,15.6,99.3,7.5,260.9,999.0
193.9,1012.0,903.7,15.5,99.6,7.5,261.2,999.0
194.9,1016.0,903.1,15.5,99.6,7.5,261.5,999.0
195.9,1022.0,902.5,15.5,99.7,7.5,261.8,999.0
196.9,1028.0,901.9,15.5,99.7,7.6,262.1,999.0
197.9,1034.0,901.3,15.4,99.7,7.6,262.4,999.0
198.9,1041.0,900.6,15.4,99.7,7.7,262.7,999.0
199.9,1047.0,900.0,15.4,99.7,7.7,262.9,999.0
200.9,1053.0,899.3,15.4,99.7,7.8,263.0,999.0
201.9,1059.0,898.7,15.3,99.9,7.9,263.0,999.0
202.9,1065.0,898.1,15.3,99.9,8.0,263.0,999.0
203.9,1071.0,897.5,15.3,99.9,8.1,263.0,999.0
204.9,1077.0,896.9,15.3,99.8,8.3,262.9,999.0
205.9,1082.0,896.3,15.3,99.6,8.4,262.7,999.0
206.9,1087.0,895.7,15.3,99.5,8.5,262.5,999.0
207.9,1092.0,895.1,15.3,99.7,8.7,262.2,999.0
208.9,1098.0,894.5,15.3,99.9,8.8,261.9,999.0
209.9,1104.0,893.9,15.3,99.9,9.0,261.5,999.0
210.9,1110.0,893.3,15.3,99.8,9.2,261.1,999.0
211.9,1116.0,892.7,15.3,99.9,9.3,260.7,999.0
212.9,1121.0,892.1,15.3,100.0,9.5,260.3,999.0
213.9,1128.0,891.5,15.3,100.0,9.7,259.9,999.0
214.9,1133.0,890.9,15.3,100.0,9.8,259.5,999.0
215.9,1139.0,890.4,15.3,99.8,10.0,259.1,999.0
216.9,1145.0,889.8,15.3,99.6,10.2,258.8,999.0
217.9,1149.0,889.3,15.3,99.5,10.3,258.5,999.0
218.9,1153.0,888.8,15.3,99.5,10.5,258.2,999.0
219.9,1157.0,888.3,15.3,99.5,10.6,258.0,999.0
220.9,1162.0,887.8,15.3,99.4,10.7,257.9,999.0
221.9,1167.0,887.3,15.3,99.4,10.8,257.8,999.0
222.9,1172.0,886.8,15.3,99.3,10.9,257.7,999.0
223.9,1178.0,886.3,15.3,99.1,11.0,257.7,999.0
224.9,1183.0,885.7,15.3,98.6,11.1,257.7,999.0
225.9,1188.0,885.2,15.3,98.1,11.2,257.8,999.0
226.9,1193.0,884.7,15.3,98.0,11.2,257.9,999.0
227.9,1198.0,884.2,15.3,98.4,11.3,258.1,999.0
228.9,1202.0,883.6,15.2,98.9,11.3,258.3,999.0
229.9,1207.0,883.1,15.2,99.3,11.3,258.5,999.0
230.9,1212.0,882.5,15.2,99.6,11.3,258.7,999.0
231.9,1218.0,881.9,15.1,99.8,11.4,259.0,999.0
232.9,1225.0,881.3,15.1,99.9,11.4,259.2,999.0
233.9,1231.0,880.7,15.0,100.0,11.4,259.4,999.0
234.9,1237.0,880.1,15.0,100.0,11.4,259.7,999.0
235.9,1243.0,879.5,15.0,99.9,11.3,259.8,999.0
236.9,1248.0,878.9,15.0,99.9,11.3,260.0,999.0
237.9,1254.0,878.3,15.0,100.0,11.3,260.1,999.0
238.9,1258.0,877.8,14.9,99.9,11.3,260.2,999.0
239.9,1264.0,877.2,14.9,99.7,11.3,260.3,999.0
240.9,1271.0,876.6,14.9,99.6,11.3,260.3,999.0
241.9,1276.0,876.0,14.9,99.6,11.3,260.2,999.0
242.9,1283.0,875.4,14.8,99.5,11.3,260.1,999.0
243.9,1290.0,874.8,14.8,99.6,11.3,260.0,999.0
244.9,1294.0,874.2,14.8,99.7,11.3,259.8,999.0
245.9,1299.0,873.6,14.8,99.7,11.2,259.5,999.0
246.9,1306.0,873.0,14.7,99.9,11.2,259.2,999.0
247.9,1312.0,872.4,14.7,99.9,11.2,258.9,999.0
248.9,1318.0,871.8,14.7,99.7,11.2,258.6,999.0
249.9,1323.0,871.2,14.7,99.6,11.2,258.2,999.0
250.9,1330.0,870.6,14.7,99.8,11.2,257.8,999.0
251.9,1335.0,870.0,14.6,100.0,11.2,257.4,999.0
252.9,1340.0,869.5,14.6,100.0,11.2,257.1,999.0
253.9,1345.0,868.9,14.6,100.0,11.2,256.7,999.0
