Time,Height,P,T,U,WS,WD,Ascent
0.0,11.0,998.1,27.8,85.0,1.2,58.0,0.0
1.5,17.0,997.4,27.7,83.8,0.5,124.6,244.0
2.5,24.0,996.6,27.6,83.7,0.6,139.0,425.0
3.5,28.0,996.2,27.6,83.5,0.6,139.5,219.0
4.5,34.0,995.5,27.5,83.3,0.6,136.0,353.0
5.5,39.0,994.9,27.5,83.0,0.7,132.7,330.0
6.5,47.0,994.2,27.4,82.9,0.7,130.4,429.0
7.5,52.0,993.5,27.4,82.9,0.8,128.8,299.0
8.5,57.0,992.9,27.3,82.9,0.8,127.3,318.0
9.5,63.0,992.3,27.2,82.9,0.9,125.8,365.0
10.5,68.0,991.7,27.2,82.9,1.0,124.5,282.0
11.5,75.0,991.0,27.1,83.1,1.1,123.4,441.0
12.5,80.0,990.5,27.1,83.3,1.2,122.4,311.0
13.5,86.0,989.9,27.0,83.5,1.3,121.6,335.0
14.5,91.0,989.4,27.0,83.7,1.4,120.9,322.0
15.5,95.0,988.8,26.9,83.9,1.6,120.3,206.0
16.5,98.0,988.3,26.8,84.0,1.7,119.9,172.0
17.5,101.0,987.8,26.8,84.4,1.8,119.5,187.0
18.5,106.0,987.3,26.8,84.6,2.0,119.2,349.0
19.5,112.0,986.8,26.8,84.7,2.1,119.0,357.0
20.5,118.0,986.3,26.7,84.7,2.3,118.9,335.0
21.5,121.0,985.7,26.6,84.8,2.4,118.9,193.0
22.5,126.0,985.2,26.5,85.2,2.5,119.0,260.0
23.5,131.0,984.7,26.5,85.6,2.7,119.0,334.0
24.5,136.0,984.2,26.4,85.9,2.8,119.2,319.0
25.5,141.0,983.7,26.3,86.0,2.9,119.3,252.0
26.5,145.0,983.3,26.3,86.0,3.0,119.5,263.0
27.5,148.0,982.9,26.3,86.1,3.1,119.8,193.0
28.5,152.0,982.5,26.2,86.1,3.2,120.1,213.0
29.5,155.0,982.1,26.2,86.2,3.3,120.4,194.0
30.5,158.0,981.8,26.2,86.5,3.3,120.7,162.0
31.5,160.0,981.4,26.2,86.9,3.4,121.1,112.0
32.5,163.0,981.0,26.1,87.1,3.4,121.5,199.0
