Time,Height,P,T,RH,WS,WD
0.0,11.0,997.7,26.4,95.0,0.8,197.0
0.5,15.0,997.2,26.5,95.9,0.4,193.2
1.5,18.0,996.9,26.5,95.4,0.2,192.9
2.5,26.0,996.0,26.7,93.6,0.2,200.1
3.5,30.0,995.5,26.9,91.4,0.2,211.2
4.5,35.0,995.0,26.9,89.9,0.2,219.4
5.5,39.0,994.5,26.9,89.2,0.3,225.3
6.5,43.0,994.1,26.9,89.0,0.3,229.8
7.5,46.0,993.6,26.9,89.1,0.4,233.5
8.5,51.0,993.0,26.9,89.3,0.4,236.7
9.5,57.0,992.5,26.9,89.4,0.5,240.0
10.5,63.0,992.0,26.8,89.5,0.5,242.9
11.5,67.0,991.4,26.8,89.6,0.6,245.6
12.5,72.0,990.9,26.8,89.7,0.7,247.8
13.5,76.0,990.4,26.7,90.0,0.7,249.8
14.5,80.0,989.8,26.7,90.2,0.8,251.6
15.5,85.0,989.3,26.6,90.4,0.8,253.3
16.5,91.0,988.8,26.6,90.6,0.9,254.9
17.5,95.0,988.3,26.6,90.7,1.0,256.3
18.5,100.0,987.8,26.6,90.8,1.0,257.6
19.5,104.0,987.3,26.6,90.8,1.1,258.7
20.5,109.0,986.8,26.5,90.7,1.1,259.6
21.5,113.0,986.3,26.5,90.8,1.2,260.5
22.5,116.0,985.8,26.4,91.0,1.2,261.4
23.5,122.0,985.3,26.4,91.0,1.2,262.1
24.5,126.0,984.8,26.4,90.9,1.3,262.9
25.5,131.0,984.3,26.4,90.9,1.3,263.6
26.5,135.0,983.8,26.4,91.0,1.3,264.2
27.5,140.0,983.3,26.4,91.2,1.3,264.8
28.5,145.0,982.8,26.3,91.3,1.3,265.2
29.5,149.0,982.3,26.3,91.4,1.3,265.6
30.5,154.0,981.8,26.2,91.5,1.3,265.9
31.5,158.0,981.3,26.2,91.6,1.3,266.1
32.5,162.0,980.9,26.2,91.8,1.3,266.2
33.5,166.0,980.4,26.1,91.9,1.3,266.3
34.5,170.0,979.9,26.1,92.1,1.3,266.4
35.5,174.0,979.4,26.1,92.3,1.3,266.3
36.5,179.0,978.9,26.0,92.5,1.2,266.3
37.5,185.0,978.4,26.0,92.6,1.2,266.1
38.5,189.0,977.9,26.0,92.3,1.2,265.8
39.5,194.0,977.4,26.0,91.9,1.1,265.4
40.5,199.0,976.8,26.0,91.7,1.1,264.8
41.5,203.0,976.3,25.9,91.7,1.1,264.3
42.5,208.0,975.8,25.9,91.3,1.1,263.7
43.5,213.0,975.4,25.9,90.6,1.0,263.2
44.5,216.0,974.9,25.9,89.9,1.0,262.8
45.5,220.0,974.4,25.9,89.4,1.0,262.4
46.5,224.0,974.0,25.9,89.3,0.9,262.0
47.5,229.0,973.6,25.9,89.3,0.9,261.5
48.5,232.0,973.1,26.0,89.2,0.9,261.0
49.5,235.0,972.7,26.0,89.0,0.9,260.6
50.5,240.0,972.2,25.9,89.1,0.8,260.3
51.5,244.0,971.7,25.9,89.3,0.8,260.2
52.5,249.0,971.2,25.9,89.5,0.8,260.5
53.5,253.0,970.7,25.8,89.6,0.8,261.0
54.5,260.0,970.2,25.8,89.5,0.8,261.6
55.5,263.0,969.7,25.8,89.0,0.8,262.4
56.5,267.0,969.1,25.8,88.8,0.8,263.4
57.5,273.0,968.6,25.8,89.0,0.8,264.3
58.5,279.0,968.0,25.8,89.2,0.8,265.4
59.5,285.0,967.5,25.7,89.3,0.8,266.5
60.5,290.0,967.0,25.7,89.4,0.8,267.7
61.5,294.0,966.4,25.6,89.6,0.9,269.0
62.5,297.0,965.9,25.6,89.9,0.9,270.4
63.5,302.0,965.4,25.6,90.1,0.9,271.8
64.5,306.0,964.9,25.6,90.2,1.0,273.1
65.5,312.0,964.4,25.5,90.4,1.0,274.3
66.5,317.0,963.9,25.5,90.7,1.1,275.3
67.5,321.0,963.4,25.4,90.9,1.1,276.2
68.5,325.0,962.9,25.4,91.0,1.2,277.1
69.5,330.0,962.4,25.4,90.8,1.3,277.9
70.5,334.0,961.9,25.4,90.5,1.3,278.8
71.5,339.0,961.4,25.5,90.2,1.4,279.7
72.5,345.0,960.9,25.5,90.1,1.4,280.6
73.5,348.0,960.5,25.4,90.0,1.5,281.6
74.5,353.0,960.0,25.4,90.1,1.5,282.5
75.5,357.0,959.5,25.4,90.5,1.5,283.3
76.5,361.0,959.0,25.3,90.8,1.6,284.1
77.5,365.0,958.6,25.3,91.0,1.6,285.0
78.5,369.0,958.1,25.3,91.2,1.6,285.9
79.5,374.0,957.6,25.2,91.4,1.7,286.8
80.5,379.0,957.1,25.2,91.4,1.7,287.8
81.5,384.0,956.6,25.2,91.4,1.7,288.7
82.5,388.0,956.1,25.1,91.4,1.7,289.7
83.5,393.0,955.5,25.1,91.5,1.8,290.6
84.5,398.0,955.0,25.1,91.7,1.8,291.5
85.5,403.0,954.4,25.0,91.8,1.8,292.4
86.5,408.0,953.9,25.0,91.9,1.8,293.1
87.5,415.0,953.3,25.0,92.0,1.9,293.8
88.5,419.0,952.7,24.9,92.2,1.9,294.4
89.5,424.0,952.2,24.9,92.2,1.9,294.9
90.5,430.0,951.6,24.9,92.2,1.9,295.3
91.5,436.0,951.0,24.8,91.9,2.0,295.6
92.5,441.0,950.4,24.8,91.2,2.0,295.8
93.5,447.0,949.8,24.9,90.3,2.1,295.8
94.5,452.0,949.3,25.0,89.7,2.1,295.7
95.5,456.0,948.7,25.0,89.5,2.2,295.5
96.5,461.0,948.1,25.0,89.6,2.2,295.3
97.5,468.0,947.5,24.9,89.9,2.3,294.9
98.5,472.0,947.0,24.9,90.1,2.3,294.5
99.5,478.0,946.4,24.8,90.3,2.4,294.0
100.5,484.0,945.8,24.8,90.6,2.4,293.6
101.5,490.0,945.2,24.7,90.8,2.5,293.1
102.5,495.0,944.6,24.7,90.9,2.5,292.7
103.5,500.0,944.0,24.6,91.1,2.6,292.3
104.5,504.0,943.4,24.6,91.6,2.7,291.9
105.5,510.0,942.8,24.6,92.3,2.7,291.5
106.5,518.0,942.2,24.5,92.9,2.8,291.1
107.5,524.0,941.7,24.4,93.0,2.8,290.8
108.5,529.0,941.1,24.4,92.9,2.8,290.6
109.5,535.0,940.5,24.4,92.7,2.9,290.4
110.5,539.0,939.9,24.3,92.8,2.9,290.3
111.5,544.0,939.4,24.3,93.1,2.9,290.2
112.5,549.0,938.9,24.2,93.4,2.9,290.2
113.5,553.0,938.3,24.2,93.4,3.0,290.2
114.5,559.0,937.8,24.2,93.6,3.0,290.3
115.5,563.0,937.2,24.1,93.8,3.0,290.5
116.5,568.0,936.7,24.1,94.0,3.0,290.6
117.5,575.0,936.1,24.0,94.3,3.0,290.7
118.5,580.0,935.6,24.0,94.5,2.9,290.9
119.5,584.0,935.0,24.0,94.8,2.9,291.1
120.5,590.0,934.5,23.9,95.1,2.9,291.3
121.5,595.0,934.0,23.9,95.4,2.9,291.5
122.5,599.0,933.4,23.8,95.5,2.9,291.7
123.5,605.0,932.9,23.8,95.7,2.9,291.9
124.5,610.0,932.3,23.7,95.8,2.8,292.0
125.5,614.0,931.8,23.7,95.8,2.8,292.1
126.5,620.0,931.2,23.6,95.9,2.8,292.2
127.5,626.0,930.6,23.6,96.0,2.8,292.3
128.5,632.0,930.0,23.6,96.1,2.8,292.2
129.5,638.0,929.5,23.5,96.2,2.8,292.2
130.5,643.0,928.9,23.5,96.4,2.8,292.1
131.5,648.0,928.3,23.4,96.8,2.8,292.0
132.5,653.0,927.7,23.4,97.2,2.8,291.9
133.5,658.0,927.2,23.3,97.6,2.8,291.7
134.5,665.0,926.6,23.3,97.9,2.8,291.6
135.5,671.0,926.0,23.2,98.0,2.8,291.4
136.5,676.0,925.5,23.2,98.0,2.8,291.3
137.5,680.0,924.9,23.2,98.1,2.8,291.1
138.5,685.0,924.4,23.1,98.2,2.8,291.0
139.5,690.0,923.9,23.1,98.4,2.8,291.0
140.5,696.0,923.3,23.0,98.7,2.9,291.0
141.5,700.0,922.8,23.0,98.7,2.9,291.0
142.5,706.0,922.3,23.0,98.8,2.9,291.1
143.5,711.0,921.7,22.9,99.1,2.9,291.3
144.5,715.0,921.2,22.9,99.2,2.9,291.6
145.5,721.0,920.7,22.8,99.3,2.9,291.9
146.5,725.0,920.2,22.8,99.2,3.0,292.3
147.5,730.0,919.7,22.8,99.2,3.0,292.8
148.5,735.0,919.2,22.7,99.3,3.0,293.3
149.5,739.0,918.7,22.7,99.5,3.0,293.9
150.5,743.0,918.2,22.7,99.7,3.0,294.5
151.5,750.0,917.7,22.6,99.8,3.0,295.2
152.5,754.0,917.2,22.6,99.9,3.0,296.1
153.5,759.0,916.7,22.6,100.0,3.0,296.9
154.5,763.0,916.2,22.5,100.0,3.0,297.9
155.5,768.0,915.7,22.5,99.9,3.0,298.8
156.5,773.0,915.2,22.5,99.8,3.0,299.8
157.5,778.0,914.6,22.4,99.7,3.0,300.8
158.5,783.0,914.1,22.4,99.5,3.0,301.7
159.5,787.0,913.6,22.4,99.3,3.0,302.7
160.5,793.0,913.0,22.4,99.0,2.9,303.7
161.5,799.0,912.5,22.4,98.8,2.9,304.6
162.5,803.0,911.9,22.4,98.5,2.9,305.6
163.5,809.0,911.4,22.4,98.4,2.9,306.5
164.5,815.0,910.8,22.4,98.4,2.9,307.3
165.5,822.0,910.2,22.3,98.4,2.9,308.0
166.5,827.0,909.6,22.3,98.4,2.9,308.7
167.5,832.0,909.0,22.2,98.3,3.0,309.2
168.5,837.0,908.5,22.2,98.0,3.0,309.7
169.5,842.0,907.9,22.2,97.5,3.0,310.0
170.5,849.0,907.3,22.2,96.9,3.0,310.3
171.5,853.0,906.8,22.2,96.7,3.0,310.4
172.5,859.0,906.2,22.2,96.9,3.1,310.5
173.5,866.0,905.6,22.2,97.1,3.1,310.5
174.5,871.0,905.1,22.2,97.0,3.1,310.3
175.5,876.0,904.5,22.1,96.8,3.2,310.1
176.5,881.0,904.0,22.1,96.8,3.2,309.8
177.5,885.0,903.5,22.1,97.1,3.3,309.5
178.5,890.0,902.9,22.0,97.6,3.3,309.1
179.5,896.0,902.4,22.0,98.0,3.4,308.7
180.5,901.0,901.9,22.0,98.1,3.5,308.3
181.5,906.0,901.3,21.9,98.0,3.5,307.9
182.5,911.0,900.8,21.9,97.9,3.6,307.5
183.5,917.0,900.3,21.9,97.8,3.7,307.2
184.5,921.0,899.7,21.8,97.6,3.8,306.8
185.5,926.0,899.2,21.8,97.5,3.9,306.5
186.5,932.0,898.6,21.8,97.6,3.9,306.2
187.5,937.0,898.1,21.7,97.8,4.0,306.0
188.5,943.0,897.5,21.7,98.0,4.1,305.8
189.5,950.0,896.9,21.6,98.0,4.2,305.7
190.5,956.0,896.3,21.6,97.6,4.2,305.7
191.5,961.0,895.8,21.6,96.7,4.3,305.7
192.5,966.0,895.2,21.6,96.0,4.4,305.8
193.5,972.0,894.7,21.6,95.7,4.4,306.0
194.5,977.0,894.1,21.6,95.7,4.5,306.2
195.5,981.0,893.6,21.6,95.8,4.5,306.4
196.5,987.0,893.1,21.6,95.9,4.5,306.7
197.5,991.0,892.6,21.5,95.9,4.6,307.0
198.5,996.0,892.1,21.5,95.9,4.6,307.4
199.5,1002.0,891.5,21.5,96.0,4.6,307.8
200.5,1007.0,891.0,21.4,96.1,4.6,308.3
201.5,1012.0,890.5,21.4,96.3,4.6,308.8
202.5,1016.0,889.9,21.3,96.5,4.5,309.4
203.5,1022.0,889.4,21.3,96.7,4.5,310.0
204.5,1028.0,888.8,21.3,96.8,4.5,310.6
205.5,1035.0,888.2,21.2,96.8,4.4,311.2
206.5,1040.0,887.7,21.2,96.8,4.4,311.8
207.5,1045.0,887.1,21.2,96.9,4.3,312.5
208.5,1051.0,886.5,21.1,96.9,4.3,313.2
209.5,1056.0,886.0,21.1,96.7,4.2,313.9
210.5,1062.0,885.4,21.1,96.5,4.1,314.6
211.5,1067.0,884.9,21.0,96.5,4.1,315.3
212.5,1072.0,884.3,21.0,96.6,4.0,316.0
213.5,1077.0,883.8,21.0,96.8,3.9,316.7
214.5,1082.0,883.2,21.0,96.9,3.8,317.4
215.5,1089.0,882.7,20.9,97.1,3.8,318.1
216.5,1095.0,882.2,20.9,97.5,3.7,318.7
217.5,1100.0,881.6,20.9,97.7,3.6,319.4
218.5,1104.0,881.1,20.9,97.5,3.5,320.0
219.5,1108.0,880.6,20.9,97.4,3.5,320.6
220.5,1113.0,880.1,20.9,97.4,3.4,321.1
221.5,1117.0,879.6,20.9,97.5,3.3,321.7
222.5,1125.0,879.0,20.9,97.5,3.3,322.2
223.5,1130.0,878.5,20.8,97.3,3.2,322.7
224.5,1135.0,878.0,20.8,96.9,3.1,323.2
225.5,1140.0,877.4,20.8,96.8,3.1,323.6
226.5,1146.0,876.9,20.8,96.8,3.0,324.1
227.5,1151.0,876.4,20.8,96.9,3.0,324.5
228.5,1156.0,875.9,20.7,96.9,3.0,325.0
229.5,1161.0,875.4,20.8,96.7,2.9,325.4
230.5,1166.0,874.9,20.7,96.6,2.9,325.9
231.5,1170.0,874.4,20.7,96.5,2.8,326.4
232.5,1175.0,873.9,20.7,96.3,2.8,327.0
233.5,1180.0,873.4,20.7,96.3,2.8,327.5
234.5,1185.0,872.8,20.7,96.4,2.7,328.1
235.5,1190.0,872.3,20.7,96.5,2.7,328.7
236.5,1197.0,871.8,20.6,96.8,2.7,329.4
237.5,1203.0,871.3,20.6,96.9,2.6,330.0
238.5,1208.0,870.7,20.6,96.7,2.6,330.8
239.5,1213.0,870.2,20.5,96.5,2.6,331.5
240.5,1216.0,869.7,20.5,96.5,2.6,332.3
241.5,1220.0,869.2,20.5,96.7,2.5,333.0
242.5,1226.0,868.7,20.5,97.2,2.5,333.8
243.5,1232.0,868.2,20.4,97.4,2.5,334.6
244.5,1236.0,867.7,20.4,97.0,2.5,335.4
245.5,1242.0,867.1,20.5,96.2,2.4,336.2
246.5,1248.0,866.5,20.5,95.4,2.4,336.9
247.5,1256.0,865.9,20.5,94.8,2.4,337.6
248.5,1262.0,865.3,20.5,94.3,2.4,338.2
249.5,1268.0,864.7,20.5,94.2,2.4,338.7
250.5,1273.0,864.2,20.4,94.2,2.4,339.1
251.5,1278.0,863.6,20.4,94.4,2.4,339.4
252.5,1284.0,863.0,20.4,94.9,2.3,339.6
253.5,1290.0,862.4,20.3,95.3,2.3,339.7
254.5,1296.0,861.9,20.3,95.5,2.3,339.7
255.5,1302.0,861.3,20.2,95.7,2.4,339.6
256.5,1309.0,860.7,20.2,95.8,2.4,339.4
257.5,1314.0,860.1,20.1,95.8,2.4,339.1
258.5,1319.0,859.6,20.1,95.9,2.4,338.7
259.5,1324.0,859.1,20.0,96.2,2.4,338.2
260.5,1329.0,858.5,20.0,96.5,2.4,337.6
