Time,Height,P,T,RH,WS,WD
0.0,11.0,1003.6,29.7,72.0,0.9,261.0
1.1,17.0,1002.9,29.9,68.2,0.6,279.0
2.1,20.0,1002.5,29.6,68.0,0.6,288.7
3.1,27.0,1001.8,29.4,68.5,0.6,291.9
4.1,34.0,1001.0,29.4,68.7,0.6,291.5
5.1,41.0,1000.2,29.3,68.7,0.6,290.5
6.1,47.0,999.6,29.0,69.1,0.6,289.9
7.1,52.0,999.0,28.7,70.1,0.6,290.0
8.1,58.0,998.4,28.6,71.0,0.6,290.6
9.1,63.0,997.7,28.5,71.0,0.6,291.3
10.1,69.0,997.1,28.5,70.5,0.6,292.4
11.1,74.0,996.6,28.5,70.4,0.6,293.6
12.1,81.0,996.0,28.4,70.1,0.6,295.2
13.1,85.0,995.4,28.4,69.9,0.6,297.1
14.1,88.0,994.9,28.4,70.0,0.6,299.4
15.1,92.0,994.4,28.3,70.4,0.6,301.9
16.1,99.0,993.9,28.2,70.9,0.6,304.6
17.1,103.0,993.5,28.2,70.8,0.6,307.5
18.1,105.0,993.0,28.2,70.1,0.6,310.3
19.1,109.0,992.5,28.2,69.8,0.7,313.1
20.1,113.0,992.1,28.1,69.9,0.7,315.7
21.1,119.0,991.6,28.1,70.2,0.7,318.0
22.1,123.0,991.1,28.0,70.6,0.7,319.9
23.1,127.0,990.6,28.0,71.0,0.7,321.4
24.1,130.0,990.1,27.9,71.2,0.8,322.6
25.1,135.0,989.6,27.9,71.4,0.8,323.3
26.1,139.0,989.1,27.9,71.8,0.8,323.7
27.1,146.0,988.6,27.8,72.5,0.8,323.7
28.1,150.0,988.0,27.8,72.6,0.8,323.3
29.1,155.0,987.5,27.8,71.9,0.9,322.6
30.1,159.0,986.9,27.7,71.0,0.9,321.6
31.1,165.0,986.3,27.7,70.9,0.9,320.3
32.1,171.0,985.7,27.6,71.5,0.9,318.7
33.1,176.0,985.1,27.5,72.0,0.9,317.0
34.1,183.0,984.5,27.5,72.4,0.9,315.0
35.1,189.0,983.8,27.4,72.8,0.9,312.9
36.1,194.0,983.2,27.4,73.2,0.9,310.6
37.1,199.0,982.6,27.3,73.4,0.9,308.1
38.1,205.0,982.0,27.3,73.6,0.9,305.5
39.1,211.0,981.4,27.2,73.8,0.9,302.8
40.1,216.0,980.8,27.2,74.2,0.9,299.9
41.1,221.0,980.2,27.1,74.6,0.9,297.0
42.1,228.0,979.6,27.0,74.8,0.9,294.0
43.1,233.0,979.1,27.0,74.8,0.9,290.9
44.1,236.0,978.5,26.9,74.7,0.8,287.8
45.1,240.0,978.0,26.9,74.7,0.8,284.8
46.1,246.0,977.5,26.9,75.0,0.8,282.0
47.1,249.0,977.1,26.8,75.9,0.8,279.3
48.1,254.0,976.6,26.7,76.9,0.8,276.6
49.1,258.0,976.1,26.7,77.4,0.7,273.9
50.1,262.0,975.6,26.6,77.6,0.7,271.3
51.1,268.0,975.0,26.6,77.9,0.7,268.8
52.1,273.0,974.5,26.5,78.1,0.7,266.5
53.1,277.0,974.0,26.5,78.3,0.7,264.5
54.1,281.0,973.4,26.4,78.4,0.6,262.8
55.1,286.0,972.9,26.4,78.7,0.6,261.3
56.1,292.0,972.3,26.3,78.8,0.6,260.0
57.1,299.0,971.7,26.3,79.0,0.6,258.8
58.1,305.0,971.1,26.2,79.1,0.6,257.8
59.1,309.0,970.5,26.2,79.2,0.5,257.0
60.1,315.0,969.9,26.1,79.5,0.5,256.6
61.1,321.0,969.4,26.0,79.7,0.5,256.4
62.1,324.0,968.8,26.0,79.8,0.5,256.5
63.1,329.0,968.2,26.0,80.0,0.5,256.8
64.1,335.0,967.7,25.9,80.1,0.5,257.1
65.1,341.0,967.1,25.9,80.1,0.4,257.7
66.1,345.0,966.5,25.8,80.1,0.4,258.6
67.1,351.0,966.0,25.8,80.1,0.4,259.8
68.1,357.0,965.4,25.7,80.2,0.4,261.4
69.1,361.0,964.8,25.7,80.3,0.4,263.2
70.1,366.0,964.3,25.7,80.5,0.4,265.2
71.1,372.0,963.7,25.6,80.8,0.3,267.5
72.1,377.0,963.2,25.6,81.0,0.3,269.9
73.1,380.0,962.6,25.5,81.1,0.3,272.9
74.1,387.0,962.1,25.5,81.2,0.3,276.7
75.1,392.0,961.6,25.4,81.3,0.2,281.7
76.1,395.0,961.1,25.4,81.3,0.2,288.6
77.1,400.0,960.6,25.3,81.5,0.2,298.1
78.1,405.0,960.1,25.3,82.0,0.1,311.1
79.1,409.0,959.6,25.3,82.3,0.1,327.7
80.1,413.0,959.1,25.2,82.5,0.1,346.3
81.1,418.0,958.6,25.2,82.8,0.2,3.5
82.1,422.0,958.1,25.1,83.0,0.2,17.2
83.1,427.0,957.6,25.1,83.0,0.2,27.1
84.1,430.0,957.0,25.0,83.2,0.3,34.1
85.1,437.0,956.5,25.0,83.5,0.3,39.0
86.1,444.0,955.9,24.9,83.8,0.3,42.2
87.1,448.0,955.4,24.9,83.8,0.4,44.3
88.1,453.0,954.8,24.9,83.6,0.4,45.5
89.1,459.0,954.2,24.8,83.4,0.5,46.1
90.1,463.0,953.7,24.8,83.6,0.5,46.2
91.1,468.0,953.1,24.8,83.8,0.5,46.0
92.1,475.0,952.5,24.7,84.1,0.6,45.4
93.1,480.0,951.9,24.6,84.3,0.6,44.5
94.1,484.0,951.3,24.6,84.7,0.6,43.2
95.1,490.0,950.7,24.5,85.2,0.6,41.5
96.1,497.0,950.1,24.4,86.0,0.6,39.3
97.1,503.0,949.5,24.4,86.4,0.6,36.7
98.1,507.0,948.9,24.3,86.6,0.7,33.6
99.1,513.0,948.3,24.2,86.8,0.7,30.2
100.1,520.0,947.7,24.2,87.0,0.7,26.3
101.1,526.0,947.0,24.1,87.0,0.7,22.1
102.1,531.0,946.4,24.1,86.7,0.7,17.6
103.1,537.0,945.8,24.1,86.0,0.7,12.7
104.1,543.0,945.2,24.1,85.6,0.7,7.6
105.1,547.0,944.6,24.1,85.5,0.7,2.3
106.1,552.0,944.0,24.0,85.7,0.8,356.8
107.1,559.0,943.3,24.0,85.9,0.8,351.3
108.1,566.0,942.7,23.9,85.8,0.8,345.9
109.1,572.0,942.1,23.9,85.3,0.9,340.6
110.1,577.0,941.4,23.9,84.6,0.9,335.7
111.1,584.0,940.8,23.9,83.8,1.0,331.0
112.1,589.0,940.1,23.9,83.6,1.0,326.6
113.1,595.0,939.5,23.9,83.8,1.1,322.4
114.1,601.0,938.9,23.8,84.0,1.1,318.4
115.1,609.0,938.3,23.8,84.0,1.2,314.6
116.1,613.0,937.6,23.7,84.1,1.2,311.0
117.1,618.0,937.0,23.7,84.4,1.3,307.6
118.1,624.0,936.4,23.6,84.8,1.3,304.4
119.1,630.0,935.8,23.6,85.0,1.4,301.3
120.1,637.0,935.1,23.5,85.0,1.4,298.4
121.1,642.0,934.5,23.5,84.8,1.5,295.5
122.1,647.0,933.9,23.5,84.7,1.5,292.7
123.1,654.0,933.3,23.4,84.6,1.6,290.0
124.1,660.0,932.6,23.4,84.3,1.6,287.4
125.1,665.0,932.0,23.4,84.0,1.7,284.7
126.1,671.0,931.3,23.4,83.8,1.7,282.1
127.1,678.0,930.7,23.3,83.8,1.7,279.5
128.1,686.0,930.0,23.3,83.8,1.8,277.0
129.1,691.0,929.4,23.3,83.6,1.8,274.4
130.1,695.0,928.8,23.2,83.7,1.8,272.0
131.1,701.0,928.1,23.2,84.0,1.8,269.6
132.1,709.0,927.5,23.2,84.2,1.9,267.3
133.1,716.0,926.8,23.1,84.2,1.9,265.1
134.1,720.0,926.2,23.1,84.1,1.9,262.9
135.1,725.0,925.6,23.1,84.1,2.0,260.7
136.1,733.0,925.0,23.0,84.4,2.0,258.6
137.1,737.0,924.3,23.0,84.5,2.0,256.6
138.1,743.0,923.7,22.9,84.5,2.1,254.7
139.1,750.0,923.1,22.9,84.6,2.1,252.8
140.1,756.0,922.5,22.9,84.6,2.2,251.0
141.1,762.0,921.8,22.8,84.6,2.2,249.2
142.1,768.0,921.2,22.8,84.5,2.3,247.6
143.1,773.0,920.6,22.8,84.5,2.3,246.0
144.1,779.0,919.9,22.8,84.4,2.4,244.5
145.1,786.0,919.3,22.7,84.5,2.4,243.0
146.1,793.0,918.6,22.7,84.7,2.5,241.7
