P,H,T,RH,U,V
998.1,11.0,27.8,85.0,-1.017657715387711,-0.6359031170798458
997.4,17.0,27.7,83.8,-0.411568184267221,0.2839218725265505
996.6,24.0,27.6,83.7,-0.39363541739430435,0.45282574813366316
996.2,28.0,27.6,83.5,-0.38966882899811023,0.4562435793600185
995.5,34.0,27.5,83.3,-0.4167950222753983,0.4316038802031907
994.9,39.0,27.5,83.0,-0.514440216604972,0.47471176890764927
994.2,47.0,27.4,82.9,-0.5330768152757156,0.4536839307441916
993.5,52.0,27.4,82.9,-0.6234703719451793,0.5012830490915684
992.9,57.0,27.3,82.9,-0.6363787846839168,0.48479072021256875
992.3,63.0,27.2,82.9,-0.7299574370903942,0.5264619074884936
991.7,68.0,27.2,82.9,-0.8241261886220158,0.5664062369248326
991.0,75.0,27.1,83.1,-0.9183326495897473,0.6055288140934952
990.5,80.0,27.1,83.3,-1.0131935106024181,0.6429921539747957
989.9,86.0,27.0,83.5,-1.107245014385962,0.6811816777611027
989.4,91.0,27.0,83.7,-1.2012908680131023,0.7189577528814383
988.8,95.0,26.9,83.9,-1.381432880970835,0.8072441981040307
988.3,98.0,26.8,84.0,-1.4737244731905244,0.8474291575815119
987.8,101.0,26.8,84.4,-1.5666402526918195,0.8863624081862406
987.3,106.0,26.8,84.6,-1.745844154539619,0.9757193182774657
986.8,112.0,26.8,84.7,-1.8367013849927314,1.0181002025173078
986.3,118.0,26.7,84.7,-2.013568412100041,1.1115494814865055
985.7,121.0,26.6,84.8,-2.1011148648000426,1.1598777198120058
985.2,126.0,26.5,85.2,-2.1865492678484895,1.2120240506158426
984.7,131.0,26.5,85.6,-2.361473209276369,1.30898597466511
984.2,136.0,26.4,85.9,-2.4441818163554667,1.3660070455884519
983.7,141.0,26.3,86.0,-2.5290008900531493,1.4192091100716542
983.3,145.0,26.3,86.0,-2.6110670878196993,1.477270680310401
982.9,148.0,26.3,86.1,-2.690072905443678,1.5406192791854214
982.5,152.0,26.2,86.1,-2.768484545823055,1.6048343589102627
982.1,155.0,26.2,86.2,-2.846295108383949,1.669911421599841
981.8,158.0,26.2,86.5,-2.8375124962696825,1.6847916291082985
981.4,160.0,26.2,86.9,-2.9113080876411157,1.7562133181465822
981.0,163.0,26.1,87.1,-2.8989765588039136,1.7764951200342258
980.7,167.0,26.1,87.3,-2.8833635269318485,1.8017254983928963
980.3,170.0,26.0,87.5,-2.867530915763812,1.8268186683792
979.9,174.0,26.0,87.5,-2.848243636509492,1.8567466674490585
979.4,178.0,26.0,87.3,-2.7454486030305922,1.830986610578398
979.0,182.0,26.0,86.9,-2.722874544318374,1.8643911113022948
978.6,187.0,26.1,86.4,-2.614863674672412,1.8445834117433382
978.2,190.0,26.1,86.1,-2.5079526825623373,1.8221342821066664
977.7,193.0,26.1,85.9,-2.4757700811466075,1.86562657177135
977.3,197.0,26.2,85.8,-2.3640322608201663,1.846984425976975
976.8,202.0,26.1,85.8,-2.250534580492984,1.828959841550729
976.4,206.0,26.1,85.9,-2.053096107120084,1.7535097304914957
975.9,210.0,26.1,86.1,-1.932176546241225,1.7397395765330315
975.3,214.0,26.0,86.5,-1.8074178647739214,1.727206027692145
974.8,218.0,25.9,86.9,-1.6761966850344148,1.7176625608889653
974.2,225.0,25.8,87.3,-1.541981223605238,1.7065444342439173
973.6,231.0,25.8,87.6,-1.3385903784722488,1.6180778098291573
972.9,236.0,25.7,87.8,-1.1952502939510419,1.6035512884875083
972.3,244.0,25.7,87.7,-1.0486802720929107,1.5843830619276194
971.6,250.0,25.8,87.4,-0.8972779315568947,1.560414148084085
971.0,256.0,25.7,87.0,-0.7425630402250938,1.5292482242238066
970.3,262.0,25.8,86.3,-0.6230520854313051,1.5817098655694417
969.7,267.0,25.9,85.5,-0.4624508751111554,1.5317111960513075
969.1,273.0,26.1,84.5,-0.32992669663460755,1.5656143761628456
968.5,278.0,26.3,83.4,-0.18020525825197092,1.4891360128941682
967.9,283.0,26.5,82.8,-0.047116138617192355,1.4992598405485973
967.3,289.0,26.5,83.1,0.08111821947716237,1.4978050054893175
966.7,295.0,26.4,83.9,0.20875965144009828,1.4854021031123554
966.2,301.0,26.4,84.7,0.3297693065292554,1.463301815918785
965.6,305.0,26.3,85.2,0.4731328800704739,1.5284453793957502
965.1,308.0,26.3,85.2,0.583802854940191,1.4896893053800455
964.6,315.0,26.3,85.3,0.7265083677582269,1.5369403344233232
964.0,318.0,26.2,85.3,0.821580051533504,1.4882896959000302
963.5,323.0,26.2,85.3,0.9591772969273139,1.5231476990296153
962.9,329.0,26.1,85.4,1.0375781691056276,1.4708608170032316
962.3,335.0,26.1,85.6,1.1749759511793516,1.4931280970332643
961.8,339.0,26.0,85.7,1.3121180579810148,1.5094191604455438
961.2,345.0,26.0,86.0,1.381764822153716,1.4459342918191371
960.6,351.0,26.0,86.3,1.5182310064100937,1.4508530632614023
960.0,354.0,25.9,86.7,1.655312799570594,1.449116812261097
959.4,361.0,25.9,87.1,1.7145435228492434,1.3785283850018129
958.8,367.0,25.8,87.3,1.848870779419599,1.3680924095280858
958.2,372.0,25.8,87.6,1.980272395867908,1.355920808219851
957.5,378.0,25.7,87.9,2.028628399732455,1.2824456385355827
956.9,386.0,25.7,88.1,2.158488876516929,1.2613190595375485
956.2,390.0,25.6,88.1,2.2870862894532027,1.2366229435827165
955.6,397.0,25.6,88.2,2.3268293401652644,1.1601143140855046
954.9,403.0,25.5,88.4,2.4509991920388536,1.132520622604678
954.3,409.0,25.5,88.6,2.5735789499146566,1.1030373468546626
953.6,416.0,25.4,88.8,2.5997603152665576,1.0398299395406587
953.0,420.0,25.4,88.9,2.718117769526485,1.0108589372332648
952.3,428.0,25.3,89.1,2.833129110712443,0.986599940215749
951.7,432.0,25.3,89.2,2.8515471948833513,0.9320292888921955
951.0,438.0,25.2,89.5,2.9645447434854098,0.906352284640485
950.4,445.0,25.2,89.7,2.9769104255985233,0.8648724287216119
949.7,452.0,25.2,89.9,3.085105293549152,0.8497795759577893
949.0,458.0,25.1,90.2,3.0952568088828065,0.8120254226713759
948.4,463.0,25.0,90.6,3.199169654653958,0.809514373400048
947.7,470.0,25.0,90.8,3.2047431237017987,0.7871604100093178
947.0,476.0,24.9,90.9,3.3074379859119483,0.7879428718801343
946.4,482.0,24.9,90.9,3.310168269768745,0.7763929583762297
945.7,489.0,24.9,91.0,3.3115182887487746,0.7706144452853106
945.0,495.0,24.8,91.3,3.40891588547668,0.7932795760289962
944.3,502.0,24.8,91.6,3.407526160056061,0.7992280453872953
943.6,507.0,24.7,91.9,3.4061260547198082,0.8051740801583683
942.9,514.0,24.7,92.1,3.4990596020827662,0.8465116071693258
942.2,520.0,24.6,92.5,3.494579333681487,0.864820952918147
941.5,528.0,24.5,92.8,3.4884566330647298,0.8891964458018767
940.8,537.0,24.5,92.9,3.5772465378365,0.9451493043624253
940.1,543.0,24.4,92.8,3.570561029547553,0.9700999609711982
939.4,549.0,24.4,92.9,3.5619594617779717,1.0012216501106954
938.7,555.0,24.3,93.1,3.6491160055723832,1.0601662029490724
938.1,561.0,24.3,93.3,3.6397254804121966,1.091969975428905
937.5,566.0,24.2,93.4,3.7255856122771402,1.1532613951717825
936.9,573.0,24.2,93.5,3.7174436043924923,1.1792425739267358
936.3,577.0,24.1,93.5,3.8020629265111348,1.2427057185229273
935.7,582.0,24.1,93.7,3.7910736400383422,1.2758372371922815
935.2,587.0,24.0,94.2,3.876626159957199,1.3348294332743422
934.6,591.0,24.0,94.8,3.961535163379924,1.3950767539115556
934.1,598.0,23.9,95.4,3.9541762882105593,1.4158000853769452
933.5,604.0,23.8,95.8,4.040678269379405,1.4706866163003782
932.9,609.0,23.8,95.7,4.035519997866091,1.484782255693697
932.3,612.0,23.8,95.7,4.124040753764323,1.533717008215988
931.8,618.0,23.8,95.9,4.215024851617789,1.5759332156676042
931.2,625.0,23.7,95.9,4.215024851617789,1.5759332156676042
930.6,633.0,23.7,95.8,4.308692070542628,1.6109539537935509
930.0,637.0,23.6,95.8,4.40522535061189,1.6382886224125328
929.4,641.0,23.6,96.1,4.408077992675918,1.630597562394304
928.9,646.0,23.5,96.5,4.504766509245869,1.657431355192964
928.3,652.0,23.5,96.8,4.6044938418509505,1.67589870229578
927.7,657.0,23.4,97.0,4.613205669578986,1.6517667662731028
927.1,663.0,23.4,97.1,4.713207455460892,1.6690342961688562
926.5,670.0,23.3,97.2,4.816319488211153,1.6772198983667732
925.9,677.0,23.3,96.8,4.825035330020479,1.6519788328105667
925.3,681.0,23.3,96.2,4.92549344427935,1.667187551045518
924.6,686.0,23.3,96.2,4.934155260551381,1.6413749921249359
924.0,693.0,23.3,96.7,5.037733377627253,1.6465850770428787
923.4,697.0,23.2,97.1,5.043450340561021,1.6289900743389787
922.8,703.0,23.1,97.6,5.1443719987693655,1.6417785289976503
922.1,712.0,23.1,98.1,5.152897773987895,1.6148202781828678
921.5,718.0,23.0,98.4,5.25403099167289,1.6263942752422575
920.8,723.0,22.9,98.5,5.256861581390815,1.6172217887776732
920.2,728.0,22.9,98.7,5.26247471231684,1.5988620647903913
919.5,735.0,22.8,99.2,5.3581560707226,1.6279322841502164
918.9,742.0,22.8,99.7,5.360989186179577,1.6185780628890392
918.3,749.0,22.7,100.0,5.360989186179577,1.6185780628890392
917.6,753.0,22.7,100.0,5.3581560707226,1.6279322841502164
917.0,760.0,22.6,100.0,5.355306633392997,1.6372815464473276
916.3,766.0,22.6,100.0,5.349558827885124,1.6559650802466621
915.7,771.0,22.5,100.0,5.439169872542779,1.7045325158596936
915.0,777.0,22.5,100.0,5.430170443145441,1.7329884472752974
914.3,785.0,22.5,100.0,5.421022142882375,1.7613968679372012
913.6,793.0,22.5,100.0,5.408593266373629,1.7991995105984875
912.8,799.0,22.4,100.0,5.392686545317006,1.846329283729457
912.1,805.0,22.4,100.0,5.376369150301325,1.8933184517371113
911.4,813.0,22.4,100.0,5.356247938479677,1.9495148169563155
910.6,820.0,22.3,100.0,5.335539353712147,2.0054973959068003
909.8,827.0,22.3,100.0,5.310639997237629,2.0705320136959773
909.1,836.0,22.3,100.0,5.281213195969473,2.1444782998943848
908.3,843.0,22.3,100.0,5.158638271168038,2.1790941207851557
907.5,851.0,22.2,100.0,5.127710522701541,2.2509075492733777
906.7,859.0,22.2,100.0,5.091722210663583,2.331172436658247
906.0,866.0,22.2,100.0,5.050262147868635,2.419680193291105
905.2,873.0,22.1,100.0,5.011632424971339,2.4987077534149327
904.5,881.0,22.1,100.0,4.96726066579804,2.5857922341161927
903.8,888.0,22.1,100.0,4.921375830907005,2.6720890574538085
903.0,893.0,22.1,100.0,4.873991897263437,2.7575719365794162
902.3,900.0,22.0,100.0,4.825123298472544,2.8422148325799426
901.6,908.0,22.0,100.0,4.774784920382917,2.925991962409312
900.8,915.0,22.0,100.0,4.807331241133448,3.0626077675768983
900.1,922.0,21.9,100.0,4.758632820601417,3.1377402184844763
899.3,929.0,21.9,100.0,4.714359273365002,3.2038752537571464
898.6,938.0,21.8,100.0,4.674865692480499,3.2612314786394445
897.9,946.0,21.8,100.0,4.634674337968058,3.3181009298965485
897.2,952.0,21.8,100.0,4.599673779219671,3.366452305433574
896.5,959.0,21.8,100.0,4.576059608589352,3.398481787304012
895.9,963.0,21.8,100.0,4.5582025533764154,3.4223952843575396
895.3,970.0,21.8,100.0,4.546228394303803,3.43828553014811
894.7,976.0,21.7,100.0,4.546228394303803,3.43828553014811
894.2,979.0,21.7,100.0,4.5582025533764154,3.4223952843575396
893.7,986.0,21.6,100.0,4.576059608589352,3.398481787304012
893.1,990.0,21.6,100.0,4.599673779219671,3.366452305433574
892.6,995.0,21.6,100.0,4.634674337968058,3.3181009298965485
892.1,1001.0,21.6,100.0,4.7626654129754815,3.3101386925697063
891.7,1005.0,21.5,100.0,4.80841792081924,3.2433188401303337
891.2,1009.0,21.5,100.0,4.864289294083459,3.1589064030871565
890.7,1015.0,21.5,100.0,5.003483767322914,3.1265236589759096
890.2,1016.0,21.4,100.0,5.062582943769502,3.029893387143206
889.7,1022.0,21.4,100.0,5.211789086629148,2.9727520105944447
