P,H,T,RH,U,V
999.7,11.0,26.4,96.0,0.2696382138897501,-0.1315113440367232
999.1,16.0,26.9,95.3,-0.24845911211132413,-0.31347738293033595
998.5,21.0,27.0,94.8,-0.3473291852294986,-0.3596699001693256
998.0,26.0,27.0,93.9,-0.35478536826826046,-0.35231710498179736
997.7,29.0,27.1,92.7,-0.4279502694925089,-0.42054555857991055
996.9,35.0,27.0,92.0,-0.4330561368590173,-0.41528590432224405
996.4,40.0,27.0,91.7,-0.44307320437553027,-0.40458143255023404
995.9,45.0,26.9,91.2,-0.458952840551059,-0.38647417785683197
995.3,50.0,26.9,90.4,-0.4779179508145177,-0.36275946891742494
994.8,54.0,26.9,90.0,-0.5810085995667572,-0.39042157628578306
994.3,60.0,26.9,90.1,-0.6043768854247401,-0.3531693366705135
993.8,64.0,26.8,90.2,-0.6259079657875577,-0.3134313614871388
993.2,68.0,26.8,90.4,-0.7364038827619522,-0.31258490279141915
992.7,72.0,26.7,90.4,-0.7541131928737427,-0.2670454873870169
992.1,78.0,26.7,90.2,-0.8642643171092488,-0.25109199543530636
991.6,83.0,26.7,89.7,-0.8758609854993794,-0.207044763469294
991.0,89.0,26.7,89.2,-0.9826127965436152,-0.1856666153855772
990.5,93.0,26.7,89.1,-1.0879174496981086,-0.16259035224257185
989.9,100.0,26.6,89.2,-1.1918047794461832,-0.14000488451919993
989.4,105.0,26.6,89.3,-1.2946497182007615,-0.11782235425711444
988.9,108.0,26.6,89.5,-1.3965896703637537,-0.09765906324177563
988.4,110.0,26.6,89.7,-1.4978050054893175,-0.08111821947716297
988.0,117.0,26.5,89.8,-1.5984771545309726,-0.06979101978453797
987.5,119.0,26.5,89.5,-1.7989034886343724,-0.06281909406450195
987.1,125.0,26.5,89.2,-1.8991637342268295,-0.05636586376171084
986.6,128.0,26.4,88.7,-1.9994029795623662,-0.04886435630530694
986.1,130.0,26.4,88.0,-2.1994337405099365,-0.04991213386011895
985.7,137.0,26.4,88.0,-2.2994955719921446,-0.048167565731721214
985.2,143.0,26.4,88.4,-2.399557709091946,-0.04607386175925514
984.8,143.0,26.3,88.6,-2.599520851516275,-0.04991335023919307
984.4,148.0,26.3,89.0,-2.6995887769222566,-0.047121497380665116
984.0,153.0,26.3,89.4,-2.7996545709486496,-0.04398048847309781
983.5,156.0,26.3,88.8,-2.8997835720153105,-0.03542930242221733
983.1,159.0,26.3,87.8,-2.999885769192514,-0.026179606495121688
982.7,161.0,26.3,87.4,-3.09998111373915,-0.010821019387194463
982.3,165.0,26.3,87.7,-3.2999949738138494,0.005759583607463858
981.8,172.0,26.2,88.1,-3.3998705384181824,0.029670220694470836
981.3,175.0,26.2,88.3,-3.4994669330473696,0.06108342253049217
980.9,179.0,26.1,88.4,-3.5987663699120063,0.09423701390834287
980.4,184.0,26.1,88.4,-3.7974478963588933,0.13924609308491337
979.9,189.0,26.1,87.9,-3.895670512351683,0.18371515776760683
979.4,194.0,26.2,87.1,-3.9933672664561133,0.23025610783826878
979.0,198.0,26.2,86.6,-4.090012606065279,0.28600154235091385
978.5,201.0,26.2,86.4,-4.185270008847919,0.3514469419957244
978.1,205.0,26.2,86.4,-4.2802036529788685,0.412136735836963
977.7,208.0,26.2,86.4,-4.373428204002791,0.4828309688005981
977.2,212.0,26.2,86.3,-4.4654937204847,0.5562066453322162
976.8,217.0,26.2,86.3,-4.45729258457239,0.6185004571671591
976.4,221.0,26.2,86.2,-4.547071879319944,0.6957997731372084
976.0,225.0,26.2,86.1,-4.636889159552756,0.7676320225356253
975.6,229.0,26.2,85.9,-4.727077214458598,0.8335112528012655
975.2,232.0,26.1,85.9,-4.816383210832816,0.9013616180023287
974.8,234.0,26.1,86.2,-4.906463319961226,0.9626098326295365
974.4,237.0,26.1,86.5,-4.997615993566231,1.016776465527705
974.0,240.0,26.1,86.4,-5.088246722529248,1.0722617640624736
973.6,244.0,26.0,86.1,-5.180304239716308,1.1200214212135597
973.2,248.0,26.1,85.6,-5.271998438447641,1.1687739152657552
972.7,253.0,26.1,85.2,-5.365439991702211,1.2091541239406072
972.3,257.0,26.1,84.8,-5.460836384111154,1.240671586669017
971.8,263.0,26.1,84.8,-5.5583513195417105,1.2628264364309638
971.3,267.0,26.0,84.9,-5.655866254972267,1.2849812861929104
970.8,271.0,26.0,84.8,-5.755653809280554,1.2970926056817422
970.4,275.0,26.0,84.7,-5.8577760427196,1.2986376836286166
969.9,280.0,26.0,84.9,-5.959978004055108,1.2994853562773565
969.4,283.0,26.0,85.1,-6.062256067903359,1.2996350900036946
969.0,287.0,25.9,85.1,-6.166864549198615,1.2883251266032791
968.6,291.0,25.9,85.1,-6.27151810957331,1.2759547802700613
968.1,296.0,25.9,85.0,-6.376208509769745,1.2625232829298192
967.7,300.0,25.9,84.9,-6.4809275037965275,1.248029923733283
967.2,302.0,25.9,84.9,-6.5856668393020135,1.232474049105225
966.8,307.0,25.9,84.9,-6.690418257948083,1.2158550627911764
966.3,311.0,25.8,84.8,-6.696692720483014,1.180807608135126
965.9,316.0,25.8,84.7,-6.80135393671309,1.1625767189985168
965.4,322.0,25.8,84.6,-6.906005131248786,1.143281735691357
964.9,325.0,25.8,84.5,-7.0106380279314715,1.1229222775068302
964.5,329.0,25.8,84.5,-7.0145150469626625,1.098443742726224
964.0,333.0,25.8,84.8,-7.119045943538443,1.0766544727947067
963.6,337.0,25.8,85.3,-7.122760797333516,1.0517978056493646
963.1,342.0,25.7,85.8,-7.22536648562686,1.0411912160502346
962.6,346.0,25.7,86.4,-7.228956901813463,1.015963637008477
962.1,350.0,25.7,86.7,-7.331534019488683,1.0042952360138517
961.7,354.0,25.7,86.7,-7.3349949978614095,0.9786972879027038
961.2,359.0,25.6,86.6,-7.336691974166198,0.9658938224283803
960.7,364.0,25.6,86.5,-7.437533717873178,0.9659669743317201
960.2,368.0,25.6,86.3,-7.439208319425223,0.9529845645101287
959.8,371.0,25.6,86.0,-7.440860259858583,0.9399992517322828
959.3,376.0,25.6,85.6,-7.440860259858583,0.9399992517322828
958.8,382.0,25.5,85.4,-7.440860259858583,0.9399992517322828
958.2,386.0,25.5,85.7,-7.440860259858583,0.9399992517322828
957.7,390.0,25.5,86.3,-7.440860259858583,0.9399992517322828
957.2,395.0,25.5,86.6,-7.440860259858583,0.9399992517322828
