Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2018/08/27 13:17:35.997000,1,332,33.6,63.6,1005.284218,1.4860215053763441,-106.0,24.99778,121.44255,5.57,9.885891386968655,4,7,3.94,0.0,0.032282112520295864
2018/08/27 13:17:37.000000,1,333,33.59,63.4,1005.2954679999999,1.4860215053763441,-105.0,24.99778,121.44255,9.13,9.885891386968655,4,7,1.21,0.0,0.052914835673769645
2018/08/27 13:17:38.000000,1,334,33.59,63.3,1005.2804679999999,1.4881720430107528,-106.0,24.99777,121.44254,11.92,9.887095834496261,4,6,1.14,0.0,0.06907643784704535
2018/08/27 13:17:38.996000,1,335,33.6,63.2,1005.333515,1.4881720430107528,-106.0,24.99777,121.44254,13.75,9.887095834496261,4,7,0.67,0.0,0.07968128089383424
2018/08/27 13:17:39.997000,1,336,33.6,63.1,1005.316562,1.4881720430107528,-106.0,24.99777,121.44254,14.69,9.887095834496261,4,7,1.7,0.0,0.08512857524564203
2018/08/27 13:17:40.996000,1,337,33.6,63.0,1005.272343,1.4860215053763441,-106.0,24.99777,121.44254,15.27,9.887095834496261,4,7,1.17,0.0,0.08848967099912983
2018/08/27 13:17:41.997000,2,338,33.62,63.0,1005.30125,1.4946236559139785,-42.0,24.99777,121.44254,15.28,9.887095834496261,4,10,1.38,0.0,0.08854762092063977
2018/08/27 13:17:42.996000,1,339,33.63,63.1,1005.296328,1.4881720430107528,-106.0,24.99777,121.44254,14.57,9.887095834496261,4,7,0.21,0.0,0.08443317605031704
2018/08/27 13:17:43.996000,2,340,33.63,63.1,1005.305937,1.4881720430107528,-42.0,24.99778,121.44254,14.88,9.886881411930815,4,9,2.06,0.0,0.08623149402953821
2018/08/27 13:17:44.999000,1,341,33.64,63.1,1005.2648429999999,1.4838709677419355,-105.0,24.99778,121.44253,15.07,9.887871440696365,4,7,1.51,0.0,0.08732382230990866
2018/08/27 13:17:45.997000,1,342,33.65,63.1,1005.279375,1.4860215053763441,-105.0,24.99778,121.44254,13.71,9.886881411930815,4,7,0.77,0.0,0.07945120416657403
2018/08/27 13:17:47.000000,1,343,33.65,63.1,1005.2852340000001,1.4903225806451612,-106.0,24.99778,121.44253,15.55,9.887871440696365,4,7,0.99,0.0,0.09010520032357959
2018/08/27 13:17:47.996000,1,344,33.66,63.0,1005.281562,1.4881720430107528,-106.0,24.99779,121.44253,15.35,9.887657160196826,4,6,0.77,0.0,0.08894822046646546
2018/08/27 13:17:48.997000,1,345,33.67,63.0,1005.325859,1.4860215053763441,-106.0,24.99779,121.44253,14.69,9.887657160196826,4,7,1.06,0.0,0.08512374247423365
2018/08/27 13:17:49.997000,1,346,33.66,63.4,1005.292656,1.4838709677419355,-107.0,24.99779,121.44254,12.74,9.886667110054296,4,6,1.49,0.0,0.07383153684099052
2018/08/27 13:17:50.996000,1,347,33.66,63.3,1005.293593,1.4924731182795699,-106.0,24.99779,121.44254,11.48,9.886667110054296,5,7,0.37,0.0,0.06652952363754666
2018/08/27 13:17:51.996000,2,348,33.67,63.2,1005.304218,1.4946236559139785,-42.0,24.99779,121.44254,11.09,9.886667110054296,5,9,1.02,0.0,0.06426937624457152
2018/08/27 13:17:52.997000,1,349,33.68,63.2,1005.2934369999999,1.4860215053763441,-106.0,24.99779,121.44256,8.96,9.8846870211654,5,7,0.13,0.0,0.05193589263205124
2018/08/27 13:17:53.996000,1,350,33.68,63.1,1005.283593,1.4924731182795699,-106.0,24.99779,121.44256,8.08,9.8846870211654,5,6,0.22,0.0,0.04683504843019997
2018/08/27 13:17:54.996000,1,351,33.69,63.1,1005.3000780000001,1.4860215053763441,-105.0,24.99779,121.44256,8.34,9.8846870211654,5,7,0.81,0.0,0.04834211611619614
2018/08/27 13:17:55.999000,1,352,33.68,63.0,1005.30875,1.4924731182795699,-105.0,24.99779,121.44256,8.77,9.8846870211654,5,7,0.13,0.0,0.050834574064472414
2018/08/27 13:17:56.996000,1,353,33.69,62.9,1005.3004679999999,1.4903225806451612,-106.0,24.99779,121.44256,7.59,9.8846870211654,5,7,0.43,0.0,0.04399480530902851
2018/08/27 13:17:57.996000,1,354,33.7,62.9,1005.3000780000001,1.4924731182795699,-106.0,24.99779,121.44257,6.12,9.883696982421323,5,7,0.16,0.0,0.03547762810104407
2018/08/27 13:17:58.996000,1,355,33.7,62.9,1005.276562,1.4903225806451612,-106.0,24.9978,121.44257,5.8,9.883482737118731,5,7,0.13,0.0,0.03362331800109241
2018/08/27 13:17:59.999000,2,356,33.71,63.0,1005.304218,1.4903225806451612,-42.0,24.9978,121.44258,4.5,9.882492680797128,5,10,0.98,0.0,0.0260896717373687
2018/08/27 13:18:00.996000,1,357,33.71,63.2,1005.319218,1.4817204301075269,-106.0,24.9978,121.44258,3.19,9.882492680797128,5,7,0.6,0.0,0.018494679045281025
2018/08/27 13:18:01.995000,2,358,33.71,63.3,1005.3153900000001,1.4946236559139785,-42.0,24.99779,121.44259,2.13,9.88171691634717,5,10,0.45,0.0,0.01235008141863662
2018/08/27 13:18:02.997000,1,359,33.72,63.4,1005.2496090000001,1.4924731182795699,-107.0,24.9978,121.44259,1.37,9.881502628275065,5,7,0.4,0.0,0.007943651930565138
