Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2020/03/13 07:17:14.564000,1610,0,19.76,98.7,1017.182656,1.4731182795698925,-59.0,24.99779,121.44252,24.96,9.888647214137398,4,9,0.99,0.0,0.14462034983893135
2020/03/13 07:17:15.547000,1610,1,19.75,98.7,1017.117734,1.4731182795698925,-60.0,24.99779,121.44253,23.32,9.887657160196826,4,9,0.55,0.0,0.1351316170435925
2020/03/13 07:17:16.546000,1610,2,19.74,98.8,1017.162656,1.4688172043010752,-60.0,24.99779,121.44253,22.12,9.887657160196826,4,9,0.41,0.0,0.12817804136872565
2020/03/13 07:17:17.546000,1610,3,19.74,98.8,1017.14125,1.4688172043010752,-59.0,24.99779,121.44254,21.05,9.886667110054296,4,9,0.6,0.0,0.12198998134259471
2020/03/13 07:17:18.548000,1610,4,19.72,98.9,1017.14625,1.4688172043010752,-60.0,24.99779,121.44255,19.34,9.885677063710945,4,9,0.33,0.0,0.11209135752084197
2020/03/13 07:17:19.545000,1610,5,19.69,98.9,1017.147968,1.4645161290322581,-59.0,24.99779,121.44256,18.21,9.8846870211654,4,10,0.91,0.0,0.10555265557385274
2020/03/13 07:17:20.547000,1610,6,19.7,99.0,1017.177656,1.4688172043010752,-59.0,24.9978,121.44257,17.85,9.883482737118731,4,9,0.53,0.0,0.10347855908040832
2020/03/13 07:17:21.548000,1610,7,19.69,99.0,1017.1557809999999,1.4709677419354839,-59.0,24.9978,121.44257,16.95,9.883482737118731,4,10,0.8,0.0,0.09826116324195798
2020/03/13 07:17:22.546000,1610,8,19.68,99.1,1017.1857030000001,1.4666666666666668,-58.0,24.9978,121.44258,15.53,9.882492680797128,4,10,1.22,0.0,0.09003828812443458
2020/03/13 07:17:23.548000,1610,9,19.68,99.1,1017.135468,1.4688172043010752,-60.0,24.9978,121.44259,14.97,9.881502628275065,4,9,0.4,0.0,0.08680027677984657
2020/03/13 07:17:24.547000,1610,10,19.67,99.1,1017.16039,1.4666666666666668,-59.0,24.9978,121.4426,13.59,9.880512579553683,4,10,1.14,0.0,0.07880655444666139
2020/03/13 07:17:25.546000,1610,11,19.66,99.1,1017.197031,1.4752688172043011,-60.0,24.9978,121.4426,12.89,9.880512579553683,4,9,0.85,0.0,0.07474735475412063
2020/03/13 07:17:26.546000,1610,12,19.66,99.1,1017.152187,1.4752688172043011,-60.0,24.9978,121.44261,12.33,9.87952253463161,4,9,0.45,0.0,0.07150715959493177
2020/03/13 07:17:27.546000,1610,13,19.65,99.2,1017.113437,1.4688172043010752,-59.0,24.99781,121.44262,11.1,9.87831826204844,4,9,0.45,0.0,0.06438169616036522
2020/03/13 07:17:28.546000,1610,14,19.63,99.2,1017.1352340000001,1.4688172043010752,-60.0,24.9978,121.44261,12.06,9.87952253463161,4,9,0.34,0.0,0.06994131095777621
2020/03/13 07:17:29.545000,1610,15,19.63,99.3,1017.143437,1.4645161290322581,-59.0,24.9978,121.44261,11.83,9.87952253463161,4,9,0.31,0.0,0.06860743981399846
2020/03/13 07:17:30.546000,1610,16,19.64,99.4,1017.131718,1.4838709677419355,-59.0,24.9978,121.4426,12.16,9.880512579553683,4,10,0.61,0.0,0.07051418856181914
2020/03/13 07:17:31.547000,1610,17,19.62,99.4,1017.1552340000001,1.4838709677419355,-59.0,24.9978,121.4426,12.87,9.880512579553683,4,9,0.44,0.0,0.07463137760882865
2020/03/13 07:17:32.546000,1610,18,19.61,99.5,1017.115156,1.4688172043010752,-60.0,24.9978,121.44259,13.83,9.881502628275065,4,9,0.3,0.0,0.08019024465008977
2020/03/13 07:17:33.546000,1610,19,19.61,99.6,1017.155312,1.4688172043010752,-60.0,24.9978,121.44258,14.4,9.882492680797128,4,9,0.68,0.0,0.08348689624318725
2020/03/13 07:17:34.549000,1610,20,19.6,99.6,1017.1316400000001,1.4838709677419355,-59.0,24.9978,121.44258,14.72,9.882492680797128,4,9,0.75,0.0,0.08534215788989663
2020/03/13 07:17:35.545000,1610,21,19.6,99.5,1017.114765,1.4838709677419355,-59.0,24.9978,121.44259,13.82,9.881502628275065,4,9,0.32,0.0,0.0801322619024079
2020/03/13 07:17:36.549000,1610,22,19.59,99.5,1017.109687,1.4688172043010752,-60.0,24.9978,121.4426,12.38,9.880512579553683,4,9,0.43,0.0,0.07178993736045956
2020/03/13 07:17:37.544000,1610,23,19.58,99.5,1017.122968,1.4688172043010752,-59.0,24.9978,121.44259,13.24,9.881502628275065,4,9,0.06,0.0,0.07676926225989136
2020/03/13 07:17:38.547000,1610,24,19.57,99.5,1017.109375,1.4709677419354839,-59.0,24.9978,121.44259,13.27,9.881502628275065,4,9,0.08,0.0,0.07694321053043464
2020/03/13 07:17:39.552000,1610,25,19.55,99.6,1017.149531,1.4838709677419355,-59.0,24.9978,121.44258,14.23,9.882492680797128,4,9,0.31,0.0,0.08250128842191766
