date,time,lon,lat,P,H,T,RH,U,V
NaN/NaN/NaN, NaN:NaN:NaN,121.44221,24.99774,1006,42.65,33.47,61.8,-0.039086038,0.473389144
NaN/NaN/NaN, NaN:NaN:NaN,121.44221,24.99774,1005,46.61,33.41,60.6,-0.0756577694,0.916326355
NaN/NaN/NaN, NaN:NaN:NaN,121.44221999999999,24.99771,1004,52.0,33.34,60.0,1.50025071,-3.71698586
2018/08/27 , 02:10:53   ,121.44223999999998,24.99768,1003,58.45,33.25,60.8,2.51721863,-4.38111557
2018/08/27 , 02:10:54   ,121.44228000000001,24.99766,1003,65.71,33.18,60.8,5.1801322,-0.34588022799999996
2018/08/27 , 02:10:55   ,121.44231,24.99765,1002,73.42,33.07,60.6,3.22894371,-0.10203776099999999
2018/08/27 , 02:10:56   ,121.44233,24.99768,1002,79.88,32.96,60.9,3.58281505,4.61394687
2018/08/27 , 02:10:56   ,121.44235,24.99771,1001,87.43,32.84,61.5,1.61668282,1.84087932
2018/08/27 , 02:10:57   ,121.44236000000001,24.99768,1000,96.08,32.69,62.1,1.03111647,-4.40310035
2018/08/27 , 02:10:58   ,121.44235,24.99762,1000,102.01,32.6,62.3,-1.41832867,-8.34138748
2018/08/27 , 02:10:59   ,121.44233999999999,24.99756,999,111.35,32.45,62.8,-1.19066729,-5.19872637
2018/08/27 , 02:11:01   ,121.44232,24.99755,998,120.29,32.31,62.9,-0.236273039,-1.03162226
2018/08/27 , 02:11:01   ,121.44233,24.99758,998,127.18,32.2,63.1,1.71515473,3.9370671
2018/08/27 , 02:11:02   ,121.44236000000001,24.997629999999997,998,129.59,32.09,63.4,3.82292752,5.40731471
2018/08/27 , 02:11:02   ,121.4424,24.99768,997,135.54,32.0,63.7,4.51232324,6.64966321
2018/08/27 , 02:11:04   ,121.44241000000001,24.99772,996,142.63,31.89,64.3,0.12128613,2.77790908
2018/08/27 , 02:11:05   ,121.4424,24.99772,996,148.44,31.77,64.9,-2.18308876,1.7754138
2018/08/27 , 02:11:05   ,121.44237,24.9977,996,150.84,31.67,65.0,-4.50818441,-3.22278494
2018/08/27 , 02:11:06   ,121.44232,24.99767,995,154.87,31.58,64.8,-4.04115009,-2.82964375
2018/08/27 , 02:11:07   ,121.44228000000001,24.99765,995,160.27,31.48,64.9,-4.1812459,-0.761368991
2018/08/27 , 02:11:08   ,121.44227,24.99767,994,164.93,31.38,65.1,-2.19279473,3.42482541
2018/08/27 , 02:11:09   ,121.44228000000001,24.99771,994,169.45,31.31,65.4,-1.01707741,4.88978822
2018/08/27 , 02:11:10   ,121.44232,24.997729999999997,993,173.83,31.21,65.9,1.6518418000000001,4.72220332
2018/08/27 , 02:11:11   ,121.44236000000001,24.99772,993,177.43,31.14,66.2,5.06686663,0.7880149040000001
2018/08/27 , 02:11:12   ,121.44238999999999,24.99768,992,182.14,31.04,66.5,3.95653344,-4.47362061
2018/08/27 , 02:11:13   ,121.44238999999999,24.997629999999997,992,184.94,30.97,66.7,1.2095571000000003,-4.94305187
