date,time,lon,lat,P,H,T,RH,U,V
NaN/NaN/NaN, NaN:NaN:NaN,121.44181999999999,24.99768,1020,111.48,16.92,73.1,0.13055298,0.0008202993499999999
NaN/NaN/NaN, NaN:NaN:NaN,121.44181999999999,24.99767,1020,113.38,16.89,73.2,0.31666042,0.0019896623
2020/03/14 , 11:19:02   ,121.44202,24.9976,1019,108.85,16.72,73.0,0.89895195,1.0293994
2020/03/14 , 11:19:02   ,121.44203999999999,24.9976,1018,99.47,16.69,72.5,0.71089549,1.1280094999999999
2020/03/14 , 11:19:02   ,121.44201000000001,24.99761,1018,95.39,16.65,72.1,-6.8417666,1.4667477
2020/03/14 , 11:19:03   ,121.44191000000001,24.99761,1017,101.23,16.61,71.9,-9.378233199999999,0.44718772
2020/03/14 , 11:19:06   ,121.44185,24.99759,1016,107.6,16.57,71.8,-5.0868549000000005,0.14386577
2020/03/14 , 11:19:06   ,121.44183999999998,24.99758,1016,104.25,16.53,71.8,-2.7585152,-0.27533642
2020/03/14 , 11:19:07   ,121.44185,24.997510000000002,1015,111.03,16.49,71.8,0.62068657,-6.353085299999999
2020/03/14 , 11:19:08   ,121.44186,24.99746,1014,112.28,16.44,71.8,0.12877439,-7.3044205
2020/03/14 , 11:19:09   ,121.44187,24.997410000000002,1014,115.78,16.4,71.9,0.28475659,-4.6691025
2020/03/14 , 11:19:10   ,121.4419,24.997410000000002,1013,118.04,16.37,72.1,1.4179258999999997,-1.9638346999999998
2020/03/14 , 11:19:11   ,121.44195,24.99744,1013,118.35,16.32,72.2,6.129096,0.2933294
2020/03/14 , 11:19:12   ,121.44197,24.9975,1012,123.74,16.29,72.2,1.5173704,6.4089349
2020/03/14 , 11:19:13   ,121.44198,24.99754,1012,128.88,16.26,72.3,0.44135096,4.1711597000000005
2020/03/14 , 11:19:13   ,121.44197,24.99756,1011,136.08,16.23,72.5,0.16304022,1.6363421
2020/03/14 , 11:19:14   ,121.44198,24.99755,1011,139.35,16.21,72.6,2.2699952000000003,-1.3126962
2020/03/14 , 11:19:16   ,121.44196000000001,24.99754,1010,143.34,16.14,72.3,-1.9694638999999998,-3.592832
2020/03/14 , 11:19:17   ,121.44193999999999,24.997510000000002,1009,148.6,16.09,72.2,-1.3480401000000002,-2.4319287
2020/03/14 , 11:19:18   ,121.44193,24.997510000000002,1009,156.58,16.05,72.4,-0.71778758,-1.2949231
