date,time,lon,lat,P,H,T,RH,U,V
NaN/NaN/NaN, NaN:NaN:NaN,121.44223999999998,24.99775,1005,23.35,30.86,74.5,0.7170968640000001,1.93234342
NaN/NaN/NaN, NaN:NaN:NaN,121.44225,24.99774,1005,27.54,30.86,73.4,0.509312733,1.37243259
NaN/NaN/NaN, NaN:NaN:NaN,121.44223999999998,24.99776,1004,31.53,30.87,72.0,-0.9458501979999999,3.90371343
NaN/NaN/NaN, NaN:NaN:NaN,121.4422,24.997770000000003,1004,35.48,30.87,71.1,-3.12652805,2.97631206
2018/08/27 , 05:33:45   ,121.44218000000001,24.997770000000003,1003,43.64,30.87,70.4,-0.283681116,0.27005148
2018/08/27 , 05:33:46   ,121.44216000000002,24.99776,1002,52.07,30.87,70.0,-0.376229566,0.358153382
2018/08/27 , 05:33:47   ,121.44215,24.99776,1002,60.22,30.86,69.8,-0.136935591,2.77996279
2018/08/27 , 05:33:48   ,121.4422,24.99776,1001,66.25,30.85,69.8,5.12834138,0.580674248
2018/08/27 , 05:33:49   ,121.44223000000001,24.99774,1000,70.28,30.83,69.7,0.0256619055,-3.34156813
2018/08/27 , 05:33:50   ,121.44219,24.99771,1000,74.01,30.81,69.7,-7.13543137,-2.93081916
2018/08/27 , 05:33:51   ,121.44211000000001,24.99769,999,78.97,30.81,69.8,-7.86893311,-0.8423354540000001
2018/08/27 , 05:33:52   ,121.44206000000001,24.99771,999,86.11,30.76,69.8,-3.60455273,0.939587487
2018/08/27 , 05:33:53   ,121.44206000000001,24.99775,998,92.54,30.74,69.8,1.62447768,5.22845075
2018/08/27 , 05:33:54   ,121.44207,24.99775,998,97.89,30.72,69.9,2.05741978,2.65432225
2018/08/27 , 05:33:54   ,121.44208,24.99772,997,103.44,30.69,70.0,2.38920257,-4.796190900000001
2018/08/27 , 05:33:55   ,121.44205,24.99766,997,108.89,30.67,70.0,-3.30651851,-7.92390304
2018/08/27 , 05:33:55   ,121.44200000000001,24.99759,996,115.26,30.64,70.1,-5.97566092,-6.61803755
2018/08/27 , 05:33:57   ,121.44196000000001,24.997529999999998,996,120.74,30.61,70.2,-4.72081595,-5.05891374
2018/08/27 , 05:33:58   ,121.44193,24.99752,995,127.37,30.58,70.3,-1.5703359,-1.47258186
2018/08/27 , 05:33:59   ,121.44192,24.997510000000002,995,134.72,30.55,70.4,-0.757813712,-0.710639502
2018/08/27 , 05:34:00   ,121.44193,24.99752,994,142.19,30.52,70.4,2.39978063,2.42419718
2018/08/27 , 05:34:01   ,121.44193999999999,24.99755,993,144.04,30.48,70.5,-2.77167327,3.6955506000000002
2018/08/27 , 05:34:02   ,121.44188,24.99758,993,155.01,30.44,70.6,-5.56641313,0.883625125
2018/08/27 , 05:34:03   ,121.44181999999999,24.99756,992,156.31,30.42,70.7,-9.39038797,-1.73871036
2018/08/27 , 05:34:04   ,121.44171999999999,24.997529999999998,992,162.15,30.39,70.8,-9.03141788,6.59548599
2018/08/27 , 05:34:04   ,121.44162,24.997510000000002,992,167.18,30.35,70.9,-9.45757885,-1.10766344
2018/08/27 , 05:34:06   ,121.44155,24.99752,991,170.48,30.31,71.0,-6.9310436,3.19818892
2018/08/27 , 05:34:07   ,121.44148999999999,24.99756,990,179.76,30.28,71.1,-4.49369775,4.31985243
2018/08/27 , 05:34:07   ,121.44147,24.9976,990,182.85,30.26,71.2,-1.85397775,4.59568247
2018/08/27 , 05:34:08   ,121.44148,24.99762,990,187.93,30.22,71.4,-0.521344978,1.41240821
2018/08/27 , 05:34:09   ,121.44147,24.99761,989,193.78,30.19,71.5,-2.25310559,-0.826749787
2018/08/27 , 05:34:10   ,121.44147,24.99757,989,193.82,30.15,71.6,-3.01177067,-3.8967758999999997
2018/08/27 , 05:34:11   ,121.44143999999999,24.997529999999998,988,198.83,30.11,71.6,-3.75696743,-4.26444293
2018/08/27 , 05:34:13   ,121.44141,24.9975,987,204.12,30.08,71.7,-3.88204774,-3.08460286
2018/08/27 , 05:34:14   ,121.44138999999998,24.99748,987,208.02,30.03,71.8,-3.25195357,-1.88964408
2018/08/27 , 05:34:15   ,121.44135,24.99748,986,216.49,30.01,71.9,-2.75202605,-0.696880742
2018/08/27 , 05:34:16   ,121.44133000000001,24.99749,986,221.57,29.95,72.0,-2.47883874,2.302673
2018/08/27 , 05:34:18   ,121.44131000000002,24.997510000000002,985,227.33,29.93,72.2,-3.86872625,3.70738363
